station_id,timestamp,pollutant,current_reading
ST001,2026-01-01 00:00:00,PM25,32.93
ST001,2026-01-01 04:00:00,PM25,33.64
ST001,2026-01-01 08:00:00,PM25,34.23
ST001,2026-01-01 12:00:00,PM25,24.01
ST001,2026-01-01 16:00:00,PM25,27.0
ST001,2026-01-01 20:00:00,PM25,34.19
ST001,2026-01-02 00:00:00,PM25,28.86
ST001,2026-01-02 04:00:00,PM25,30.65
ST001,2026-01-02 08:00:00,PM25,25.09
ST001,2026-01-02 12:00:00,PM25,26.45
ST001,2026-01-02 16:00:00,PM25,30.05
ST001,2026-01-02 20:00:00,PM25,32.41
ST001,2026-01-03 00:00:00,PM25,16.48
ST001,2026-01-03 04:00:00,PM25,
ST001,2026-01-03 08:00:00,PM25,33.09
ST001,2026-01-03 12:00:00,PM25,13.98
ST001,2026-01-03 16:00:00,PM25,25.79
ST001,2026-01-03 20:00:00,PM25,31.4
ST001,2026-01-04 00:00:00,PM25,21.2
ST001,2026-01-04 04:00:00,PM25,24.8
ST001,2026-01-04 08:00:00,PM25,29.0
ST001,2026-01-04 12:00:00,PM25,22.72
ST001,2026-01-04 16:00:00,PM25,22.64
ST001,2026-01-04 20:00:00,PM25,32.44
ST002,2026-01-01 00:00:00,PM25,
ST002,2026-01-01 04:00:00,PM25,17.31
ST002,2026-01-01 08:00:00,PM25,12.32
ST002,2026-01-01 12:00:00,PM25,16.0
ST002,2026-01-01 16:00:00,PM25,13.96
ST002,2026-01-01 20:00:00,PM25,23.79
ST002,2026-01-02 00:00:00,PM25,23.23
ST002,2026-01-02 04:00:00,PM25,22.62
ST002,2026-01-02 08:00:00,PM25,25.27
ST002,2026-01-02 12:00:00,PM25,13.95
ST002,2026-01-02 16:00:00,PM25,18.56
ST002,2026-01-02 20:00:00,PM25,23.25
ST002,2026-01-03 00:00:00,PM25,22.3
ST002,2026-01-03 04:00:00,PM25,20.74
ST002,2026-01-03 08:00:00,PM25,23.97
ST002,2026-01-03 12:00:00,PM25,12.76
ST002,2026-01-03 16:00:00,PM25,15.79
ST002,2026-01-03 20:00:00,PM25,30.06
ST002,2026-01-04 00:00:00,PM25,7.05
ST002,2026-01-04 04:00:00,PM25,25.99
ST002,2026-01-04 08:00:00,PM25,7.06
ST002,2026-01-04 12:00:00,PM25,14.2
ST002,2026-01-04 16:00:00,PM25,15.16
ST002,2026-01-04 20:00:00,PM25,18.94
ST003,2026-01-01 00:00:00,PM25,28.7
ST003,2026-01-01 04:00:00,PM25,41.03
ST003,2026-01-01 08:00:00,PM25,28.15
ST003,2026-01-01 12:00:00,PM25,32.21
ST003,2026-01-01 16:00:00,PM25,30.62
ST003,2026-01-01 20:00:00,PM25,37.07
ST003,2026-01-02 00:00:00,PM25,21.94
ST003,2026-01-02 04:00:00,PM25,33.86
ST003,2026-01-02 08:00:00,PM25,34.66
ST003,2026-01-02 12:00:00,PM25,19.58
ST003,2026-01-02 16:00:00,PM25,31.71
ST003,2026-01-02 20:00:00,PM25,31.87
ST003,2026-01-03 00:00:00,PM25,28.31
ST003,2026-01-03 04:00:00,PM25,34.65
ST003,2026-01-03 08:00:00,PM25,29.16
ST003,2026-01-03 12:00:00,PM25,
ST003,2026-01-03 16:00:00,PM25,
ST003,2026-01-03 20:00:00,PM25,35.49
ST003,2026-01-04 00:00:00,PM25,29.11
ST003,2026-01-04 04:00:00,PM25,
ST003,2026-01-04 08:00:00,PM25,27.02
ST003,2026-01-04 12:00:00,PM25,17.5
ST003,2026-01-04 16:00:00,PM25,35.43
ST003,2026-01-04 20:00:00,PM25,32.72
ST004,2026-01-01 00:00:00,PM25,26.63
ST004,2026-01-01 04:00:00,PM25,27.79
ST004,2026-01-01 08:00:00,PM25,33.05
ST004,2026-01-01 12:00:00,PM25,22.14
ST004,2026-01-01 16:00:00,PM25,29.23
ST004,2026-01-01 20:00:00,PM25,28.41
ST004,2026-01-02 00:00:00,PM25,25.46
ST004,2026-01-02 04:00:00,PM25,27.5
ST004,2026-01-02 08:00:00,PM25,31.79
ST004,2026-01-02 12:00:00,PM25,27.3
ST004,2026-01-02 16:00:00,PM25,
ST004,2026-01-02 20:00:00,PM25,28.3
ST004,2026-01-03 00:00:00,PM25,17.03
ST004,2026-01-03 04:00:00,PM25,33.64
ST004,2026-01-03 08:00:00,PM25,27.98
ST004,2026-01-03 12:00:00,PM25,20.32
ST004,2026-01-03 16:00:00,PM25,
ST004,2026-01-03 20:00:00,PM25,31.76
ST004,2026-01-04 00:00:00,PM25,25.94
ST004,2026-01-04 04:00:00,PM25,32.66
ST004,2026-01-04 08:00:00,PM25,18.19
ST004,2026-01-04 12:00:00,PM25,26.94
ST004,2026-01-04 16:00:00,PM25,27.48
ST004,2026-01-04 20:00:00,PM25,
ST005,2026-01-01 00:00:00,PM10,30.66
ST005,2026-01-01 04:00:00,PM10,38.55
ST005,2026-01-01 08:00:00,PM10,41.63
ST005,2026-01-01 12:00:00,PM10,27.73
ST005,2026-01-01 16:00:00,PM10,44.26
ST005,2026-01-01 20:00:00,PM10,51.14
ST005,2026-01-02 00:00:00,PM10,39.63
ST005,2026-01-02 04:00:00,PM10,51.93
ST005,2026-01-02 08:00:00,PM10,42.15
ST005,2026-01-02 12:00:00,PM10,33.45
ST005,2026-01-02 16:00:00,PM10,38.05
ST005,2026-01-02 20:00:00,PM10,43.76
ST005,2026-01-03 00:00:00,PM10,37.9
ST005,2026-01-03 04:00:00,PM10,31.94
ST005,2026-01-03 08:00:00,PM10,40.55
ST005,2026-01-03 12:00:00,PM10,44.73
ST005,2026-01-03 16:00:00,PM10,39.08
ST005,2026-01-03 20:00:00,PM10,45.21
ST005,2026-01-04 00:00:00,PM10,
ST005,2026-01-04 04:00:00,PM10,
ST005,2026-01-04 08:00:00,PM10,42.79
ST005,2026-01-04 12:00:00,PM10,44.86
ST005,2026-01-04 16:00:00,PM10,31.94
ST005,2026-01-04 20:00:00,PM10,
ST006,2026-01-01 00:00:00,PM25,29.86
ST006,2026-01-01 04:00:00,PM25,33.76
ST006,2026-01-01 08:00:00,PM25,29.97
ST006,2026-01-01 12:00:00,PM25,25.79
ST006,2026-01-01 16:00:00,PM25,32.89
ST006,2026-01-01 20:00:00,PM25,40.2
ST006,2026-01-02 00:00:00,PM25,35.58
ST006,2026-01-02 04:00:00,PM25,35.72
ST006,2026-01-02 08:00:00,PM25,34.09
ST006,2026-01-02 12:00:00,PM25,25.91
ST006,2026-01-02 16:00:00,PM25,29.7
ST006,2026-01-02 20:00:00,PM25,41.6
ST006,2026-01-03 00:00:00,PM25,24.29
ST006,2026-01-03 04:00:00,PM25,30.64
ST006,2026-01-03 08:00:00,PM25,28.74
ST006,2026-01-03 12:00:00,PM25,24.91
ST006,2026-01-03 16:00:00,PM25,28.77
ST006,2026-01-03 20:00:00,PM25,28.94
ST006,2026-01-04 00:00:00,PM25,19.63
ST006,2026-01-04 04:00:00,PM25,29.44
ST006,2026-01-04 08:00:00,PM25,29.04
ST006,2026-01-04 12:00:00,PM25,
ST006,2026-01-04 16:00:00,PM25,
ST006,2026-01-04 20:00:00,PM25,34.46
ST007,2026-01-01 00:00:00,PM25,34.15
ST007,2026-01-01 04:00:00,PM25,32.57
ST007,2026-01-01 08:00:00,PM25,26.46
ST007,2026-01-01 12:00:00,PM25,31.52
ST007,2026-01-01 16:00:00,PM25,27.14
ST007,2026-01-01 20:00:00,PM25,29.92
ST007,2026-01-02 00:00:00,PM25,31.37
ST007,2026-01-02 04:00:00,PM25,
ST007,2026-01-02 08:00:00,PM25,35.38
ST007,2026-01-02 12:00:00,PM25,23.19
ST007,2026-01-02 16:00:00,PM25,31.13
ST007,2026-01-02 20:00:00,PM25,34.51
ST007,2026-01-03 00:00:00,PM25,28.36
ST007,2026-01-03 04:00:00,PM25,22.97
ST007,2026-01-03 08:00:00,PM25,23.43
ST007,2026-01-03 12:00:00,PM25,25.93
ST007,2026-01-03 16:00:00,PM25,30.9
ST007,2026-01-03 20:00:00,PM25,30.23
ST007,2026-01-04 00:00:00,PM25,30.46
ST007,2026-01-04 04:00:00,PM25,31.17
ST007,2026-01-04 08:00:00,PM25,
ST007,2026-01-04 12:00:00,PM25,21.32
ST007,2026-01-04 16:00:00,PM25,24.0
ST007,2026-01-04 20:00:00,PM25,
ST008,2026-01-01 00:00:00,PM25,22.5
ST008,2026-01-01 04:00:00,PM25,28.37
ST008,2026-01-01 08:00:00,PM25,
ST008,2026-01-01 12:00:00,PM25,28.24
ST008,2026-01-01 16:00:00,PM25,23.5
ST008,2026-01-01 20:00:00,PM25,32.6
ST008,2026-01-02 00:00:00,PM25,29.73
ST008,2026-01-02 04:00:00,PM25,
ST008,2026-01-02 08:00:00,PM25,33.4
ST008,2026-01-02 12:00:00,PM25,27.58
ST008,2026-01-02 16:00:00,PM25,28.36
ST008,2026-01-02 20:00:00,PM25,28.42
ST008,2026-01-03 00:00:00,PM25,26.17
ST008,2026-01-03 04:00:00,PM25,33.28
ST008,2026-01-03 08:00:00,PM25,19.8
ST008,2026-01-03 12:00:00,PM25,
ST008,2026-01-03 16:00:00,PM25,33.9
ST008,2026-01-03 20:00:00,PM25,25.96
ST008,2026-01-04 00:00:00,PM25,
ST008,2026-01-04 04:00:00,PM25,25.88
ST008,2026-01-04 08:00:00,PM25,17.65
ST008,2026-01-04 12:00:00,PM25,17.48
ST008,2026-01-04 16:00:00,PM25,
ST008,2026-01-04 20:00:00,PM25,30.58
ST009,2026-01-01 00:00:00,PM25,29.96
ST009,2026-01-01 04:00:00,PM25,26.72
ST009,2026-01-01 08:00:00,PM25,22.64
ST009,2026-01-01 12:00:00,PM25,19.85
ST009,2026-01-01 16:00:00,PM25,27.69
ST009,2026-01-01 20:00:00,PM25,27.57
ST009,2026-01-02 00:00:00,PM25,15.89
ST009,2026-01-02 04:00:00,PM25,25.13
ST009,2026-01-02 08:00:00,PM25,29.57
