station_id,district,latitude,longitude,elevation_m,installed_year,height_m
ST001,STARE_MIASTO,51.122992,16.996481,44,2021,9
ST002,KRZYKI,51.107813,17.001155,46,2025,5
ST003,SRODMIESCIE,51.112634,17.088612,24,2020,13
ST004,STARE_MIASTO,51.088205,16.974858,51,2012,8
ST005,FABRYCZNA,51.127644,16.958874,74,2007,4
ST006,SRODMIESCIE,51.130775,17.0638,70,2018,17
ST007,STARE_MIASTO,51.12149,17.091232,32,2021,5
ST008,STARE_MIASTO,51.095357,16.977633,59,2009,10
ST009,FABRYCZNA,51.068022,16.917377,54,2007,25
ST010,KRZYKI,51.183985,17.055076,35,2007,3
ST011,KRZYKI,51.09137,17.005982,43,2022,11
ST012,SRODMIESCIE,51.161809,17.061282,47,2014,4
ST013,PSIE_POLE,51.086886,17.105548,49,2020,12
ST014,SRODMIESCIE,51.158896,17.035028,32,2020,5
ST015,KRZYKI,51.056617,17.123639,37,2015,5
ST016,FABRYCZNA,51.152105,16.973398,47,2022,11
ST017,PSIE_POLE,51.122582,17.142843,43,2011,3
ST018,FABRYCZNA,51.125541,17.021164,52,2014,11
ST019,SRODMIESCIE,51.134504,17.10724,53,2012,19
ST020,PSIE_POLE,51.160506,17.18643,52,2019,3
ST021,STARE_MIASTO,51.061114,17.098737,75,2023,9
ST022,KRZYKI,51.133151,16.994218,36,2009,16
ST023,SRODMIESCIE,51.110689,17.054795,47,2024,21
ST024,SRODMIESCIE,51.12767,17.080758,19,2006,11
ST025,STARE_MIASTO,51.079487,16.983947,36,2023,18
ST026,FABRYCZNA,51.073076,16.959225,42,2022,9
ST027,KRZYKI,51.117097,17.060025,70,2016,7
ST028,FABRYCZNA,51.111665,16.9677,52,2011,4
ST029,FABRYCZNA,51.122667,16.967129,87,2009,6
ST030,STARE_MIASTO,51.098942,16.974162,41,2017,14
ST031,STARE_MIASTO,51.151205,17.003537,40,2015,10
ST032,SRODMIESCIE,51.087315,17.033822,36,2010,11
ST033,KRZYKI,51.02048,16.979818,81,2011,4
ST034,KRZYKI,51.146292,17.154703,32,2010,9
ST035,KRZYKI,51.093954,17.107648,35,2024,17
ST036,FABRYCZNA,51.134717,16.942954,47,2008,3
ST037,FABRYCZNA,51.111164,16.947345,53,2022,15
ST038,PSIE_POLE,51.180945,17.131217,55,2007,12
ST039,FABRYCZNA,51.119503,16.929138,54,2015,31
ST040,STARE_MIASTO,51.182261,17.095634,55,2009,6
ST041,KRZYKI,51.043066,17.086146,53,2014,3
ST042,SRODMIESCIE,51.15696,17.073177,33,2024,8
ST043,STARE_MIASTO,51.11823,17.034799,45,2020,10
ST044,KRZYKI,51.08734,17.09736,11,2008,10
ST045,SRODMIESCIE,51.130678,17.06684,44,2014,14
ST046,SRODMIESCIE,51.184957,16.993646,62,2015,9
ST047,KRZYKI,51.079854,16.996384,44,2021,16
ST048,KRZYKI,51.142631,17.085596,56,2024,24
ST049,STARE_MIASTO,51.124365,17.06582,45,2021,7
ST050,FABRYCZNA,51.154135,16.910868,61,2018,10
ST051,FABRYCZNA,51.160494,16.988035,77,2017,3
ST052,FABRYCZNA,51.117157,16.91112,42,2007,22
ST053,STARE_MIASTO,51.131314,17.004743,34,2007,3
ST054,STARE_MIASTO,51.08551,17.04518,67,2011,16
ST055,STARE_MIASTO,51.028805,17.044875,51,2024,23
ST056,STARE_MIASTO,51.036787,17.009056,58,2021,3
