weather_station_id,district,latitude,longitude
WS001,FABRYCZNA,51.11124,16.96091
WS002,FABRYCZNA,51.118861,16.956868
WS003,FABRYCZNA,51.122735,16.965991
WS004,FABRYCZNA,51.121395,16.96014
WS005,FABRYCZNA,51.108127,16.964937
WS006,KRZYKI,51.078745,17.05038
WS007,KRZYKI,51.095132,17.018908
WS008,KRZYKI,51.095298,17.030328
WS009,KRZYKI,51.071624,17.035711
WS010,KRZYKI,51.084992,17.050607
WS011,PSIE_POLE,51.173724,17.107439
WS012,PSIE_POLE,51.141835,17.129515
WS013,PSIE_POLE,51.140177,17.104367
WS014,PSIE_POLE,51.143223,17.124676
WS015,PSIE_POLE,51.149428,17.120298
WS016,STARE_MIASTO,51.122501,17.035324
WS017,STARE_MIASTO,51.116944,17.020343
WS018,STARE_MIASTO,51.083486,17.042067
WS019,STARE_MIASTO,51.112619,17.041095
WS020,STARE_MIASTO,51.110538,17.029079
WS021,SRODMIESCIE,51.122141,17.06734
WS022,SRODMIESCIE,51.117116,17.05176
WS023,SRODMIESCIE,51.124335,17.059135
WS024,SRODMIESCIE,51.14667,17.048865
WS025,SRODMIESCIE,51.149886,17.057107
