model_name,agent_name,reasoning_effort,started_at,trial_id,reward,duration_sec,cost_usd
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T15:21:14.132612Z,6fCTuqW,0.200000,622.725,2.750147
openai/gpt-5.5,codex,xhigh,2026-07-09T15:33:09.807049Z,9p8TWWD,0.200000,487.761,2.268676
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T15:21:14.182213Z,C9Y7bRq,0.200000,548.965,1.250185
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T15:29:34.663073Z,CvSS3RF,0.200000,467.069,1.023924
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T15:40:05.484217Z,DbqZxeV,0.200000,363.721,0.799679
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T15:38:22.575477Z,ETY4znC,0.200000,779.866,2.363640
openai/gpt-5.4,codex,xhigh,2026-07-09T15:21:14.187541Z,FY7ysc8,0.200000,652.769,2.286563
openai/gpt-5.5,codex,xhigh,2026-07-09T15:21:14.184991Z,GJURXcg,0.200000,638.996,4.690439
deepseek/deepseek-reasoner,opencode,high,2026-07-09T15:31:36.863830Z,JcgQgqm,0.200000,311.296,0.032123
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T15:21:14.179372Z,KtTd773,0.200000,494.919,1.943677
openai/gpt-5.4,codex,xhigh,2026-07-09T15:30:20.143581Z,MCXcLVg,0.200000,626.624,2.774671
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T15:31:53.186905Z,PrLjTR4,0.200000,667.596,3.161315
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T15:32:06.962770Z,ZvpLz4o,0.500000,478.513,1.113499
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T15:22:05.751653Z,gcRMq7q,0.200000,494.385,1.072122
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T15:37:21.738110Z,n2dtXmq,0.500000,711.801,3.644861
deepseek/deepseek-reasoner,opencode,high,2026-07-09T15:26:27.173339Z,r4rKyg4,0.500000,212.954,0.021179
openai/gpt-5.5,codex,xhigh,2026-07-09T15:30:00.135779Z,raJufhu,0.200000,372.280,1.635610
deepseek/deepseek-reasoner,opencode,high,2026-07-09T15:21:14.177002Z,sYKYQSS,0.200000,312.990,0.027412
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T15:30:23.152698Z,uuZyYt4,0.000000,479.417,0.968315
openai/gpt-5.5,codex,xhigh,2026-07-09T15:21:14.162098Z,vGP57Ky,0.500000,500.494,1.935073
openai/gpt-5.4,codex,xhigh,2026-07-09T15:21:14.164845Z,vxWv6RA,0.200000,717.713,2.689894
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T15:36:12.421918Z,wTytrp7,0.000000,607.529,1.492963
deepseek/deepseek-reasoner,opencode,high,2026-07-09T15:40:46.773368Z,wsR3DM7,0.500000,329.857,0.017580
deepseek/deepseek-reasoner,opencode,high,2026-07-09T15:36:48.165824Z,y6f8vaG,0.000000,291.190,0.027037
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-13T09:00:32.295400Z,bFysKmy,0.200000,519.425,1.429202
openai/gpt-5.4,codex,xhigh,2026-07-13T09:00:32.287495Z,bZS56Fs,0.200000,371.225,1.482981
anthropic/claude-fable-5,claude-code,xhigh,2026-07-13T09:00:32.069728Z,kFLXmuc,0.200000,800.404,4.344684
openai/gpt-5.5,codex,xhigh,2026-07-13T09:00:32.283908Z,vxrAesD,0.200000,358.794,2.056872
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-13T09:00:32.276317Z,waFLwEP,0.200000,965.877,2.464941
openai/gpt-5.4,codex,xhigh,2026-07-13T10:21:16.551390Z,K5LZVQg,0.200000,293.547,1.232802
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T14:15:02.767161Z,4omYw2d,0.200000,346.585,1.194502
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T14:15:02.805647Z,5e7gkAR,0.200000,700.174,2.170488
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T14:15:02.799650Z,CJR2FdJ,0.200000,448.773,1.521670
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T14:15:02.794363Z,KDiBNfU,0.200000,536.845,1.676647
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T14:15:02.819332Z,PxDm8hE,0.500000,555.353,1.913578
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T14:15:02.803183Z,dGknXJ2,0.200000,512.546,2.481246
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T14:15:02.809207Z,ijvVe2p,0.200000,600.320,2.496078
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T14:15:02.816357Z,jPiN6yx,0.200000,390.924,1.393275
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T14:15:02.796931Z,ys8fhVa,0.200000,432.028,1.299045
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T14:15:02.812792Z,zNi7fFK,0.200000,452.388,1.556250
