model_name,agent_name,reasoning_effort,started_at,trial_id,reward,duration_sec,cost_usd
openai/gpt-5.5,codex,xhigh,2026-07-09T16:18:35.482063Z,47mMLdz,0.450997,423.979,2.328502
openai/gpt-5.4,codex,xhigh,2026-07-09T16:18:35.520765Z,4ttC7sY,,4.747,
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T16:18:35.489914Z,7oYFQzY,0.094623,574.550,1.480364
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T16:18:35.476462Z,8G6QZN7,0.138841,606.274,1.090690
deepseek/deepseek-reasoner,opencode,high,2026-07-09T16:18:40.273696Z,GerF838,,2.595,
deepseek/deepseek-reasoner,opencode,high,2026-07-09T16:18:35.510367Z,LN2Qe7F,0.151436,422.515,0.017098
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T16:18:40.869149Z,NNm9R58,,2.285,
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T16:18:35.540178Z,P72VeWF,,6.728,
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T16:18:35.497439Z,QAUvp27,0.566188,646.050,2.774239
openai/gpt-5.4,codex,xhigh,2026-07-09T16:18:35.536730Z,StXJskH,,6.627,
deepseek/deepseek-reasoner,opencode,high,2026-07-09T16:18:35.526371Z,UBaXGjx,,5.336,
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T16:18:35.523512Z,VAfVhWg,,4.952,
openai/gpt-5.4,codex,xhigh,2026-07-09T16:18:35.504886Z,Y8MhpE9,0.070979,608.710,2.189022
openai/gpt-5.4,codex,xhigh,2026-07-09T16:18:35.485080Z,b6sPMTy,0.151436,504.893,1.363485
openai/gpt-5.4,codex,xhigh,2026-07-09T16:18:41.811826Z,hDSmsp5,,1.979,
deepseek/deepseek-reasoner,opencode,high,2026-07-09T16:18:42.174711Z,k7c9cAu,,2.194,
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T16:18:35.507581Z,nPTMuC6,0.056596,521.612,1.074644
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T16:18:35.515956Z,rBoGLeY,0.050678,537.587,0.712255
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T16:18:35.531452Z,rXgGESs,,6.275,
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T16:18:35.528848Z,t7VqZYB,,5.565,
openai/gpt-5.5,codex,xhigh,2026-07-09T16:18:35.534504Z,tYyeeTk,,6.628,
openai/gpt-5.5,codex,xhigh,2026-07-09T16:18:35.518431Z,tyDEUZY,0.566188,546.414,3.321784
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T16:18:40.488805Z,uibb7vE,,2.381,
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T16:18:35.499801Z,wPgGaiQ,,83.458,
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T16:18:42.169618Z,xRYgFKe,,1.951,
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T16:18:35.430220Z,yTxnkAN,0.151436,613.106,2.205578
deepseek/deepseek-reasoner,opencode,high,2026-07-09T16:18:35.494393Z,yWd5Uq3,0.050678,434.806,0.020036
openai/gpt-5.5,codex,xhigh,2026-07-09T16:18:41.099470Z,ykRFkuA,,2.408,
openai/gpt-5.5,codex,xhigh,2026-07-09T16:18:35.502723Z,zP9jaU9,1.000000,339.703,1.749051
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T16:18:35.513294Z,zStxsMc,0.566188,676.887,2.580432
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-13T10:35:30.026359Z,GF8WCPg,0.054708,447.733,1.262941
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-13T10:35:30.037032Z,H3XcifY,0.279480,383.890,0.980534
openai/gpt-5.5,codex,xhigh,2026-07-13T10:35:30.040326Z,HnBCEBH,0.450997,338.583,1.464440
anthropic/claude-fable-5,claude-code,xhigh,2026-07-13T10:35:30.033617Z,NpEXEgd,0.151436,327.394,1.480808
deepseek/deepseek-reasoner,opencode,high,2026-07-13T10:35:30.030912Z,SkHuQwh,0.022211,278.966,0.017583
openai/gpt-5.4,codex,xhigh,2026-07-13T10:35:30.043316Z,VPjGP8H,0.334884,414.457,1.390858
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-13T10:40:09.003544Z,Wc25zR3,0.450997,405.057,0.985036
openai/gpt-5.5,codex,xhigh,2026-07-13T10:35:30.018520Z,fiXQ86N,1.000000,419.851,1.921043
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-13T10:35:30.012621Z,pdUZvev,0.050678,375.593,1.024259
anthropic/claude-fable-5,claude-code,xhigh,2026-07-13T10:35:29.953713Z,qrD2FAz,0.000000,668.982,
deepseek/deepseek-reasoner,opencode,high,2026-07-13T10:40:57.442659Z,svW6yj3,0.202485,306.510,0.018298
openai/gpt-5.4,codex,xhigh,2026-07-13T10:35:30.021337Z,tVBeZV4,0.070565,391.350,1.226703
deepseek/deepseek-reasoner,opencode,high,2026-07-13T10:49:45.238474Z,MYF4vvB,0.024910,340.742,0.019074
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-13T10:49:45.233107Z,i43KmoA,0.077998,399.183,1.212322
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-13T10:49:45.158576Z,mWwRu6o,0.122917,331.222,0.929883
openai/gpt-5.4,codex,xhigh,2026-07-13T10:49:45.225789Z,wFZL8i6,0.151436,215.712,0.581499
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T14:29:28.553479Z,6wgbUQz,0.000000,649.055,1.747097
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T14:29:28.572513Z,JyXhPab,1.000000,371.554,1.254171
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T14:29:28.556459Z,K2nPHhr,1.000000,332.140,1.173139
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T14:29:28.567697Z,MzXo6Jb,1.000000,373.307,1.371011
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T14:29:28.561644Z,WeDDKnE,1.000000,375.644,1.438023
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T14:29:28.564753Z,ovpkFGC,0.000000,662.304,1.255906
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T14:29:28.576070Z,uei6AuA,0.136835,557.381,1.847003
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T14:29:28.570034Z,wMyxc9K,0.073980,561.271,1.494318
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T14:29:28.559374Z,xmkjuDg,0.450997,599.729,1.946581
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T14:29:28.503147Z,yecQnsg,1.000000,332.505,1.217256
