model_name,agent_name,reasoning_effort,started_at,trial_id,reward,duration_sec,cost_usd
openai/gpt-5.5,codex,xhigh,2026-07-09T17:07:44.804696Z,5dqLDVS,0.000000,259.394,0.413370
deepseek/deepseek-reasoner,opencode,high,2026-07-09T17:16:28.450152Z,6fbDkHQ,0.500000,309.123,0.008123
openai/gpt-5.4,codex,xhigh,2026-07-09T17:13:36.674589Z,6wzxwNz,0.500000,307.499,0.641800
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T17:13:42.022866Z,ATbkhBj,0.000000,401.112,0.805364
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T17:16:12.848965Z,D5PsexW,0.000000,265.644,0.502512
deepseek/deepseek-reasoner,opencode,high,2026-07-09T17:07:44.834630Z,DiUAynZ,0.500000,403.286,0.009613
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T17:07:44.839973Z,FHKavi5,,376.069,
deepseek/deepseek-reasoner,opencode,high,2026-07-09T17:07:44.817854Z,GwNLh2Y,0.500000,301.812,0.009925
openai/gpt-5.5,codex,xhigh,2026-07-09T17:07:44.842828Z,JuZPtNa,0.000000,189.841,0.700654
openai/gpt-5.4,codex,xhigh,2026-07-09T17:07:44.807659Z,QGfhta5,0.500000,312.424,0.401640
openai/gpt-5.4,codex,xhigh,2026-07-09T17:07:44.828531Z,QoP9Brm,0.000000,188.421,0.350160
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T17:07:44.742053Z,UcMHAr9,0.500000,801.136,1.634080
openai/gpt-5.5,codex,xhigh,2026-07-09T17:12:57.237162Z,UhY5JQx,0.000000,255.073,0.504010
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T17:12:46.634463Z,W8BBAYf,0.000000,206.210,0.142485
openai/gpt-5.5,codex,xhigh,2026-07-09T17:15:03.844856Z,XS7m367,0.000000,182.963,0.564148
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T17:07:44.798931Z,YcKjW73,0.000000,351.868,0.138277
deepseek/deepseek-reasoner,opencode,high,2026-07-09T17:14:00.917255Z,bEdrNt3,0.000000,121.969,0.001939
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T17:07:44.820923Z,co5H3L8,0.000000,742.330,1.368990
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T17:07:44.813211Z,crA9PLS,0.500000,420.946,0.981398
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T17:14:28.127868Z,fijA2ue,0.500000,541.143,1.240586
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T17:07:44.837280Z,fxeytpM,0.500000,693.990,1.059971
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T17:12:12.873182Z,jR3MkHx,0.500000,544.085,1.286821
openai/gpt-5.4,codex,xhigh,2026-07-09T17:16:02.890808Z,kozpRDd,0.500000,158.798,0.255013
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T17:10:54.688938Z,pfcCoKP,0.000000,441.523,0.967724
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T17:14:45.765676Z,tGQJhio,0.000000,146.135,0.147979
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T17:07:44.831560Z,udaN4Sf,0.000000,523.613,1.239169
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T17:07:44.823531Z,vhyjjsQ,0.000000,357.192,0.249147
openai/gpt-5.4,codex,xhigh,2026-07-09T17:10:53.256062Z,xXvwr8Z,0.500000,250.582,0.379617
deepseek/deepseek-reasoner,opencode,high,2026-07-09T17:12:04.206971Z,zL3244p,0.500000,352.987,0.011009
openai/gpt-5.5,codex,xhigh,2026-07-09T17:07:44.826138Z,zjgCVjg,0.000000,268.042,0.476918
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-13T11:10:09.147508Z,WLyEqrG,0.000000,63.852,0.154616
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T14:42:19.009019Z,5FpunaQ,0.200000,311.742,0.704861
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T14:42:18.997043Z,9XjDUf2,0.000000,102.180,0.224024
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T14:42:18.994215Z,aw2BqBQ,0.200000,291.080,0.845051
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T14:42:18.982666Z,dz38YKx,0.200000,419.363,0.932261
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T14:42:19.004485Z,m3E5qHi,0.000000,112.904,0.287392
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T14:42:18.985848Z,pqMvaSL,0.000000,105.663,0.266099
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T14:42:18.991268Z,qWiTCYP,0.000000,102.572,0.258150
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T14:42:18.909544Z,xSwcGVz,0.000000,85.378,0.231460
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T14:58:30.923950Z,PzjLQ4B,0.000000,538.518,0.645945
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T14:58:38.675841Z,Khpj9gT,0.000000,641.803,0.527459
