model_name,agent_name,reasoning_effort,started_at,trial_id,reward,duration_sec,cost_usd
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T18:39:19.855707Z,364EEeo,0.057902,455.359,0.701213
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T18:46:42.954369Z,6oEToHR,0.957975,416.262,1.454740
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T18:44:44.872931Z,7TLvKef,0.018015,287.656,0.583167
openai/gpt-5.4,codex,xhigh,2026-07-09T18:39:19.848912Z,8ezqnmm,0.038983,476.356,0.804106
openai/gpt-5.5,codex,xhigh,2026-07-09T18:47:11.979736Z,BpxZYEF,0.055828,379.209,1.347674
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T18:46:55.219987Z,DyMKZ5j,0.000000,427.628,0.731877
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T18:45:15.989000Z,Fpz62wa,0.957975,340.010,1.237331
openai/gpt-5.4,codex,xhigh,2026-07-09T18:39:19.872877Z,KXCLGHN,0.054855,324.995,0.682362
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T18:39:19.778389Z,LixAnKh,0.957975,417.235,1.332517
openai/gpt-5.4,codex,xhigh,2026-07-09T18:46:17.018362Z,P64Gi7n,0.054855,271.241,0.641926
openai/gpt-5.5,codex,xhigh,2026-07-09T18:39:19.845079Z,S8oqQ5v,0.054855,356.139,1.020807
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T18:45:35.646765Z,TJonesD,0.029696,350.949,0.640920
deepseek/deepseek-reasoner,opencode,high,2026-07-09T18:45:03.421257Z,VbBNb7U,0.037297,256.144,0.009020
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T18:39:19.887031Z,VnGZ9nk,0.029696,443.062,0.526744
openai/gpt-5.5,codex,xhigh,2026-07-09T18:39:19.891263Z,WZcNxbw,0.054855,343.522,1.062839
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T18:46:24.667008Z,X94Xmjx,0.055828,301.490,0.583815
deepseek/deepseek-reasoner,opencode,high,2026-07-09T18:48:07.637971Z,XgytUWH,0.040169,306.669,0.023470
openai/gpt-5.5,codex,xhigh,2026-07-09T18:39:19.869877Z,YeNfpVe,0.059246,472.105,0.994569
deepseek/deepseek-reasoner,opencode,high,2026-07-09T18:46:34.535148Z,aMcpbpi,0.037297,265.244,0.010107
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T18:39:19.867007Z,cVygGVH,0.031606,501.696,0.699895
openai/gpt-5.5,codex,xhigh,2026-07-09T18:45:50.927664Z,iMTaUbE,0.019346,343.443,1.269319
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T18:39:19.883129Z,jHx4dsY,0.957975,434.647,1.190432
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T18:39:19.864194Z,nifuxEB,0.957975,424.798,1.244031
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T18:47:41.568196Z,pKPyLmE,0.019196,307.278,0.604825
deepseek/deepseek-reasoner,opencode,high,2026-07-09T18:39:19.860667Z,qbLop3F,0.040169,277.645,0.016747
deepseek/deepseek-reasoner,opencode,high,2026-07-09T18:39:19.879698Z,uPBvvEi,0.037297,375.758,0.032047
openai/gpt-5.4,codex,xhigh,2026-07-09T18:47:16.210990Z,uoutezT,0.054855,309.941,0.621329
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T18:39:19.875963Z,uppFskZ,0.019346,391.045,0.625429
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T18:39:19.837842Z,xRpYrnB,0.040169,527.795,0.680026
openai/gpt-5.4,codex,xhigh,2026-07-09T18:43:57.510869Z,zP2SARq,0.054855,299.707,0.745055
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T15:10:49.688132Z,34cniDS,0.037297,558.497,0.913025
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T15:10:49.702177Z,83wVu4M,0.018015,212.799,0.742638
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T15:10:49.619273Z,JvK6vvX,0.018015,216.085,0.718158
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T15:10:49.693035Z,ZECk9g3,0.018015,247.410,0.622677
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T15:10:49.716785Z,bohsmY4,0.018015,211.864,0.701329
openai/gpt-5.6-sol,codex,xhigh,2026-07-13T15:10:49.708850Z,ifNs5jg,0.018015,218.563,0.650035
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T15:10:49.713181Z,tYhPLP3,0.000000,310.744,0.732009
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T15:25:51.125302Z,62JjhMu,0.009739,811.194,1.559935
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T18:09:06.378343Z,ypVbid9,0.009739,726.047,1.400303
google/gemini-3.5-flash,gemini-cli,high,2026-07-13T18:10:56.076415Z,RyaNRng,0.037297,616.484,1.335366
