record_id,event_time,region,channel,amount_str,notes
R00277,2025-09-11T04:50:00Z,A8,app,"(1,128)",fee=-15.46; adj=-5.62%; items=4
R00247,2025-08-12T07:46:00Z,A1,Phone,"80,87 C2",fee=+2.36; items=4; flag=R; adj=+12.03%
R00089,2025-10-23T18:42:33Z,A4,phone,(-81.45),adj=-2.66%; flag=S; items=12
R00103,2025-08-03T00:00:00Z,A5, phone ,105.16,fee=+24.81; adj=-2.07%; items=12; flag=N
R00279,2025-10-20T03:19:23Z,A7,Phone,"113 , 61 C2) ",adj=-2.37%; fee=+25.51; items=0
R00105,2025-10-28T10:17:00Z,A4,email,C1 245.07,adj=-14.03%; items=5; flag=T; fee=-41.84
R00120,2025-01-09T23:01:00Z,A2,web,124,fee=-21.63; items=5
R00237,2025-08-12T09:07:38Z,A5,phone	,515.34,fee=+37.05; items=2; adj=-13.10%
R00248,2025-08-04T00:29:00Z,A1,phone	,43.48 C1,
R00087,2025-11-23T19:56:30Z,A6,PHONE,"97,20 C2",fee=-20.89; items=1; adj=-9.49%
R00151,2025-10-26T18:35:00Z,A6,PHONE,"121,43 C2 ",flag=N; fee=+17.55; items=12
R00080,2025-10-08T05:12:00Z,A1,phone,138.87 C1,flag=T; items=2; fee=+25.42; adj=+3.09%
R00128,,A8,phone	,C1 118.59 CR,flag=U; items=25; adj=-2.50%; fee=-12.60
R00212,,A1,email,186.09C1,flag=N; fee=-2.00; items=0; adj=-16.05%
R00130,2025-11-08T01:54:17Z,A5,phone,"128,31 C2",items=1; adj=-0.61%; fee=+14.08; flag=S
R00008,,A1,app,51,waive=true; items=10; adj=-5.52%
R00121,2025-10-05T03:47:00Z,A2, phone ,56 ,flag=U; items=8; fee=-10.94; adj=+14.80%
R00040,2025-02-11T17:50:00Z,A8, phone ,84.64,adj=+11.62%; flag=N; fee=-13.69; items=3
R00231,2025-08-24T13:52:43Z,A2,PHONE,(142,WAIVE=TRUE; fee=-161.64; items=12; adj=+15.16%
R00019,2025-09-30T23:31:32Z,A6,web, 50,adj=+8.18%; waive=true; items=1
R00018,2025-08-14T00:00:00Z,A8,web,92.77,adj=+5.97%; fee=+45.32; items=2
R00028,2025-11-10T08:00:00Z,A1,web,C1 100.00,items=1; adj=+0.00%; fee=+0.00
R00279,2025-10-23T03:15:50Z,A5,Phone,"-74,06C2",flag=U; adj=+6.13%; fee=+41.60; items=5
R00143,2025-09-18T12:33:00Z,A4,phone,178.00 C1,items=0; fee=+31.72; adj=-1.71%; flag=S
R00116,2025-09-18T09:33:00Z,A8,phone	,,flag=R; adj=-11.18%; items=10
R00198,2025-09-10T00:00:00Z,A7,app,C1 132.80 ,flag=T; items=12; adj=-4.52%
R00027,2025-09-06T15:11:42Z,A2,PHONE,290,WAIVE=TRUE; fee=-12.30; items=0
R00215,2025-10-24T19:19:00Z,A4,web,C1 66 . 45,adj=-1.92%; items=0; fee=-15.71
R00139,2025-08-26T02:44:47Z,A6,Phone, 61.68,items=4; flag=U; adj=-7.58%; fee=+106.35
R00296,,A8,app,(83.99 C1 ,flag=R; adj=-4.57%; fee=+1.52; items=3
R00097,2025-10-05T12:00:00Z,A3,web,C1 1.000,fee=-6.28; items=1; adj=-13.58%
R00101,2025-10-26T08:09:35Z,A7,phone,C1 123.45 CR,adj=-2.77%; items=1; fee=+6.96
R00144,2025-05-09T11:48:00Z,A8,email,126 CR,fee=+2.64; flag=N; items=8; adj=-4.95%
R00093,2025-09-18T13:27:37Z,A6,phone	,(105 C2),fee=-18.07; adj=+10.83%; flag=U; items=1
R00125,2025-10-25T02:50:18Z,A5,phone,"68,82 C2",items=4; adj=-15.95%; fee=+20.56
R00166,2025-11-08T00:00:00Z,A4, phone ,C1 39.86,adj=-5.34%; fee=-26.78; flag=S; items=5
R00043,2025-09-25T09:44:54Z,A8,PHONE,127.32C1,waive=true; adj=+2.16%; items=25; fee=+12.32; flag=U
R00148,2025-02-09T19:17:00Z,A2, phone ,58.79C1,adj=-5.16%; items=5; fee=-31.39; waive=true
R00210,2025-08-02T03:18:00Z,A2,phone	,"72,21 C2",fee=+8.18; items=4; adj=-1.23%
R00068,2025-08-10T06:38:00Z,A6,phone,73.56,items=1; adj=+9.05%; fee=-17.12; flag=U
R00132,,A5,Phone,,flag=U; adj=+4.67%; items=1
R00222,2025-10-25T18:17:45Z,A4,app,808.824,fee=-18.08; items=6; adj=-7.59%
R00056,2025-09-14T07:55:28Z,A1,email," 80 , 14 C2",adj=-7.74%; items=8
R00162,2025-11-02T16:47:32Z,A2,phone,113.26,items=5; adj=+4.71%; fee=+40.70
R00110,2025-09-01T19:13:00Z,A4, phone ,"99,89 C2",items=3; fee=+110.40; adj=+6.24%
R00285,2025-08-08T00:00:00Z,A4,web,124),items=10; adj=-2.98%; flag=T; fee=-9.32
R00036,2025-09-28T05:00:00Z,A3,email,,items=0; adj=+2.94%; flag=N
R00114,2025-09-02T12:06:00Z,A3, phone ,(-110.90 C1),fee=-9.33; items=50; flag=T
R00139,2025-08-12T13:17:03Z,A3,web,150.594 ,
R00087,2025-09-12T18:39:00Z,A7,app,12.345 C2,fee=+25.32; flag=N; adj=-5.72%; items=6
R00082,2025-06-11T07:52:48Z,A3,PHONE,-124.72C1,items=1; fee=+20.90; adj=+1.07%
R00146,2025-10-09T07:06:00Z,A7,PHONE,,fee=+57.78; items=12; flag=T; adj=-7.73%
R00175,2025-08-11T10:45:00Z,A7,app, 100,items=4; adj=-11.41%
R00230,2025-10-11T15:04:00Z,A4,web,"233,60 C2 ",flag=N; fee=-1.66; adj=-0.87%
R00289,2025-10-13T10:18:30Z,A2, phone ,221 ,adj=-10.65%; fee=-32.93; items=1
R00019,2025-09-21T17:45:00Z,A5,app,132.00 C1,adj=+8.05%; items=4
R00258,2025-12-05T08:24:49Z,A5,PHONE,218 ,items=4; adj=+2.73%; fee=-6.65
R00174,2025-09-13T02:23:00Z,A6,app,"52,58 C2",items=4; adj=-1.16%
R00161,2025-09-19T08:42:53Z,A8,phone	, 93.401,items=3; flag=S; waive=true; fee=-68.54; adj=+0.35%
R00161,2025-11-04T00:00:00Z,A4,app,-C1 123.45,items=3; adj=-8.71%; flag=R; fee=-0.37
R00057,2025-08-29T03:34:00Z,A8, phone ,"C1 1,234.56",items=4; flag=S; adj=+9.12%; fee=-33.53
R00094,2025-08-18T05:15:53Z,A1,app,C1 94.60,adj=-4.19%; flag=U; fee=-3.66
R00252,2025-09-06T14:29:57Z,A2,phone,66.54 ,adj=+10.74%; fee=-173.92; flag=T; items=4
R00158,2025-10-02T10:50:36Z,A2,phone	,97.42,items=4; flag=T; fee=+18.29; adj=+1.10%
R00288,2025-08-03T09:19:40Z,A5,Phone,,adj=-1.06%; items=50; waive=true; fee=-31.38
R00007,2025-09-21T05:02:00Z,A3, phone ,67.75 C1,items=3; adj=+9.38%; flag=S; fee=-8.27
R00019,,A5,email,84),items=10; adj=-7.62%; fee=-13.91
R00138,2025-05-09T00:33:00Z,A4,Phone,"72,90 C2",items=10; fee=+7.45; adj=+13.09%
R00060,2025-11-20T08:30:00Z,A3,web,,items=0; adj=-8.45%
R00126,2025-11-08T00:26:00Z,A3,phone," 85,66 C2",adj=+3.39%; fee=-36.74; items=1
R00099,2025-08-04T07:31:04Z,A4,PHONE, 46.67,fee=-45.83; items=1; WaIvE=true; adj=+15.55%; flag=R
R00096,2025-11-12T06:00:00Z,A1,web,C1 100.00,items=1; adj=+0.00%; fee=+0.00
R00134,2025-10-17T16:03:28Z,A3,app,C1 106.66,fee=-4.79; adj=-6.16%; items=0; flag=R
R00214,2025-10-22T02:01:00Z,A8,email,C1 96.31,items=1; adj=-9.98%
R00139,2025-09-19T03:44:00Z,A4,phone,,items=2; fee=-15.14; flag=N; adj=-0.75%
R00164,2025-09-07T20:39:00Z,A5,phone	,"139,85 C2",flag=N; adj=-1.72%; fee=+6.17; items=2
R00208,2025-10-10T22:57:57Z,A4,app,C1165,items=4; fee=-19.54
R00289,2025-09-23T06:26:23Z,A3,phone,"1.234,56 C2",items=1; adj=-1.20%; fee=+8.18; flag=R
R00288,2025-10-28T15:03:14Z,A4,phone,C1 45.05,items=2; adj=-5.29%; fee=+7.00; flag=T
R00239,2025-11-02T00:11:00Z,A2,phone,C1 121 . 17,adj=-0.64%; items=5; flag=S
R00236,2025-10-03T17:19:08Z,A8,web,,fee=-24.79; flag=T; items=3; adj=+2.84%
R00052,2025-09-29T13:22:00Z,A6,app,195 C2,flag=R; fee=-48.70; items=4; adj=-5.70%
R00054,2025-08-13T19:05:11Z,A2,PHONE,-C1 204.33,items=12; fee=-34.73
R00015,,A4,phone,64.54,items=1; flag=T; fee=-7.11; adj=+6.58%
R00009,,A3,phone	,C1 44,flag=R; items=3; fee=+133.56; adj=-3.66%
R00094,2025-10-13T12:59:59Z,A1, phone ,C1 127.67 ,adj=-6.90%; items=4; WaIvE=true; fee=+7.25
R00120,2025-09-01T23:02:00Z,A1,phone, 125,fee=-1.15; items=3
R00071,2025-08-22T20:30:00Z,A1,Phone,"205,49 C2",items=1; adj=-10.05%; fee=+16.09
R00014,2025-12-10T18:42:00Z,A8, phone ,195.46,items=1; fee=-38.57; adj=+6.95%
R00288,2025-10-26T00:00:00Z,A8,phone,C1 123.45 CR,adj=-8.45%; fee=-5.98; items=12; flag=N
R00194,2025-09-23T21:53:00Z,A3,email,(80),items=10; flag=T; adj=+0.95%; fee=-11.03
R00284,2025-08-15T22:51:10Z,A1,web,84,fee=+31.82; adj=+0.91%; items=0
R00260,2025-10-11T13:26:24Z,A1,Phone,153.11 C1,fee=-38.48; items=12; flag=S; adj=+1.22%
R00012,2025-08-17T03:19:47Z,A3,phone,,adj=-18.30%; items=10; fee=-19.67
R00115,2025-09-16T01:31:48Z,A7,phone,62.79,adj=+14.06%; items=1; fee=+33.81
R00131,2025-12-09T09:18:45Z,A4,web,C1 111.56,items=8; flag=N; fee=+19.90; adj=+12.69%
R00089,2025-12-12T17:46:14Z,A7,email,C1 64.47,items=5; adj=-11.53%; fee=+21.60; flag=S
R00022,2025-09-13T15:25:00Z,A8,app,59.00,fee=-5.65; flag=R; items=5; adj=-8.18%
R00043,2025-09-22T00:00:00Z,A5,web, (107),flag=S; items=1; fee=-3.00; adj=+15.20%
R00205,2025-07-08T10:08:00Z,A8,PHONE,247.491,fee=-28.17; items=6; adj=+1.93%
R00060,2025-10-09T08:48:24Z,A7,Phone,213.57,adj=+12.93%; flag=U; fee=-3.99
R00235,2025-10-25T00:00:00Z,A5,web,,adj=+3.12%; flag=T; WaIvE=true; fee=-18.08; items=3
R00193,2025-10-24T15:56:00Z,A6,app,88.28,fee=+21.13; adj=-15.64%; items=50
R00137,2025-06-08T11:38:00Z,A6,app,"98,09C2",fee=-7.39; flag=T; items=2; adj=+1.22%; WaIvE=true
R00053,2025-08-29T21:09:00Z,A4,Phone,90.70,items=50; adj=-7.23%; flag=N
R00219,2025-08-22T22:36:00Z,A8,phone,81.66 C1 CR,fee=-14.88; flag=N; items=10; adj=+18.03%
R00075,2025-11-05T11:14:25Z,A6,phone	,-41.42 C1,items=1; fee=+2.22; adj=+13.02%
