model_name,agent_name,reasoning_effort,started_at,trial_id,reward,duration_sec,cost_usd
openai/gpt-5.4,codex,xhigh,2026-07-09T19:05:35.826940Z,2DsQCSN,0.030877,226.579,0.338275
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T19:10:32.042371Z,57eDcxz,0.028252,444.494,1.043543
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T19:13:49.153155Z,6g5Hv7k,0.028252,294.086,0.578316
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T19:05:35.820576Z,6sM6wWV,0.030877,498.296,0.747779
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T19:05:35.837931Z,8eTuPf4,0.030877,440.265,1.022394
openai/gpt-5.4,codex,xhigh,2026-07-09T19:08:55.246069Z,FJV3tbN,0.030877,166.842,0.282327
openai/gpt-5.5,codex,xhigh,2026-07-09T19:05:35.800582Z,GJ7XFRm,0.030877,199.438,0.425919
openai/gpt-5.4,codex,xhigh,2026-07-09T19:13:27.731704Z,NN7dWSD,0.030877,195.562,0.382786
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T19:05:35.817270Z,P9mzjMu,0.030877,436.929,1.156513
openai/gpt-5.4,codex,xhigh,2026-07-09T19:11:06.658034Z,Pp6kqwL,0.030877,175.807,0.240825
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T19:05:35.830714Z,QsFT5bW,0.253645,381.394,0.835183
openai/gpt-5.5,codex,xhigh,2026-07-09T19:10:39.461172Z,RuSJCer,0.030877,166.812,0.446428
deepseek/deepseek-reasoner,opencode,high,2026-07-09T19:11:57.232344Z,Sd2gHNB,0.030877,211.933,0.019311
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T19:12:56.109592Z,UrdwmGT,0.030877,398.056,0.944073
openai/gpt-5.5,codex,xhigh,2026-07-09T19:05:35.823726Z,VfFYi3N,0.030877,294.422,0.869150
openai/gpt-5.5,codex,xhigh,2026-07-09T19:05:35.844503Z,cQUrDTE,0.030877,286.169,0.762496
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T19:11:42.094942Z,csNstwr,0.030877,315.295,0.675316
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T19:05:35.841036Z,dY3HM6Z,0.028252,640.420,1.220264
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T19:12:52.752655Z,ebh8bMz,0.030877,289.048,1.254824
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T19:05:35.736434Z,gKWZ7dw,0.030877,530.758,1.547114
openai/gpt-5.5,codex,xhigh,2026-07-09T19:13:26.279332Z,hVrBnDs,0.030877,268.656,0.800051
deepseek/deepseek-reasoner,opencode,high,2026-07-09T19:05:35.834531Z,j6xpiRc,0.030877,493.310,0.021013
openai/gpt-5.4,codex,xhigh,2026-07-09T19:05:35.803545Z,kKRAHLe,0.030877,303.651,0.419099
deepseek/deepseek-reasoner,opencode,high,2026-07-09T19:05:35.813510Z,nPPHehh,0.030877,330.836,0.020872
deepseek/deepseek-reasoner,opencode,high,2026-07-09T19:10:22.020770Z,pSGepbA,0.030877,288.086,0.011284
deepseek/deepseek-reasoner,opencode,high,2026-07-09T19:13:54.122626Z,pyDzERC,0.030877,319.431,0.030280
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T19:10:30.255055Z,rGqWeX8,0.030877,382.692,1.404266
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T19:09:22.413763Z,rMSx5tW,0.030877,245.311,0.401465
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T19:05:35.793917Z,squkMcX,0.030877,567.577,0.942460
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T19:05:35.809183Z,zJzTpUi,0.030877,296.228,0.447947
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T07:11:10.787244Z,3DPtpQH,0.030877,351.597,0.887008
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T07:11:10.793860Z,5Bi3urU,0.030877,515.183,1.511911
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T07:11:10.701326Z,PtFuBpD,0.253645,139.788,0.365968
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T07:11:10.790564Z,T2Dcv9s,0.253645,117.336,0.254861
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T07:11:10.773108Z,ZaDJyik,0.030877,350.918,1.045420
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T07:11:10.769403Z,aSV9hGQ,0.253645,139.212,0.372436
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T07:11:10.783382Z,cWwghvC,0.253645,157.283,0.447361
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T07:11:10.766270Z,dYRv96v,0.030877,448.398,1.284455
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T07:11:10.777482Z,yGXf4Co,0.253645,133.455,0.358972
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T07:30:11.266400Z,6NgYZ6G,0.030877,397.981,0.968851
