model_name,agent_name,reasoning_effort,started_at,trial_id,reward,duration_sec,cost_usd
openai/gpt-5.5,codex,xhigh,2026-07-09T19:26:42.356350Z,2PfrUtV,1.000000,575.537,2.562081
openai/gpt-5.4,codex,xhigh,2026-07-09T19:32:11.261418Z,2SoDGqF,0.000000,432.180,1.296311
openai/gpt-5.5,codex,xhigh,2026-07-09T19:31:47.213646Z,3S6F7e5,1.000000,306.617,1.096364
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T19:22:47.094250Z,5Wb3SVK,1.000000,495.296,1.705915
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T19:22:47.119924Z,6KUZ7rw,0.000000,175.881,0.311017
openai/gpt-5.4,codex,xhigh,2026-07-09T19:30:16.677933Z,7iC7yxZ,0.666667,304.965,0.933870
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T19:22:47.078794Z,BtWERJv,0.000000,235.268,0.463749
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T19:28:39.574139Z,EmMSHMc,1.000000,403.480,1.906166
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T19:22:47.054345Z,HMrr85B,0.000000,268.345,0.330742
openai/gpt-5.4,codex,xhigh,2026-07-09T19:26:50.076977Z,HWJkbZV,0.000000,321.176,1.074560
deepseek/deepseek-reasoner,opencode,high,2026-07-09T19:30:57.551139Z,JKkXfzz,0.000000,265.969,0.022036
deepseek/deepseek-reasoner,opencode,high,2026-07-09T19:22:47.088275Z,KZ4wjNf,0.000000,352.477,0.034734
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T19:22:46.992581Z,P2nTTNp,1.000000,477.779,1.943102
openai/gpt-5.5,codex,xhigh,2026-07-09T19:22:47.106745Z,P4ptsoY,1.000000,540.094,1.957740
deepseek/deepseek-reasoner,opencode,high,2026-07-09T19:28:31.406635Z,QfwXyX8,0.000000,190.284,0.025113
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T19:22:47.100431Z,QyLtGko,0.000000,344.298,0.438253
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T19:31:41.698904Z,VdJu73s,1.000000,756.557,2.053526
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T19:27:15.409425Z,W6E5nGZ,0.000000,222.135,0.640112
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T19:34:01.496024Z,XjXcGat,0.000000,258.296,0.783589
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T19:28:51.810200Z,dDT6TzF,1.000000,461.445,1.076796
openai/gpt-5.4,codex,xhigh,2026-07-09T19:22:47.113839Z,fA3Qt8P,0.000000,194.996,0.635104
openai/gpt-5.5,codex,xhigh,2026-07-09T19:30:08.676294Z,i4T5aSG,1.000000,328.124,1.112262
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T19:30:44.780682Z,mX4UJxb,0.000000,198.398,0.434867
openai/gpt-5.4,codex,xhigh,2026-07-09T19:22:47.069699Z,n2iNh2w,0.000000,242.996,0.426368
openai/gpt-5.5,codex,xhigh,2026-07-09T19:22:47.063628Z,qQaijeW,1.000000,364.738,1.701961
deepseek/deepseek-reasoner,opencode,high,2026-07-09T19:34:03.187493Z,rE8aLDa,0.000000,338.222,0.041674
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T19:26:02.119373Z,szG6wqN,0.000000,246.547,0.501959
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T19:25:43.009288Z,tjmSGyo,1.000000,498.478,2.503468
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T19:31:02.398850Z,uTX8RTT,1.000000,350.186,1.725335
deepseek/deepseek-reasoner,opencode,high,2026-07-09T19:22:47.126556Z,xoyfd8P,0.000000,449.541,0.031935
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T07:42:52.811964Z,9WmCnXa,0.000000,389.961,1.350232
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T07:42:52.783668Z,CDReXYe,0.000000,209.657,0.560684
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T07:42:52.825432Z,LNDTwBC,0.000000,250.242,0.707462
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T07:42:52.789891Z,ShArBEX,1.000000,295.455,0.679334
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T07:42:52.804289Z,XE7Heja,1.000000,292.722,0.501397
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T07:42:52.769450Z,hZoG6Yb,0.000000,232.395,0.615442
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T07:42:52.797417Z,j3iEkHP,0.000000,238.651,0.559005
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T07:42:52.818716Z,n3iUBam,1.000000,303.733,0.726245
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T07:42:52.679154Z,tqsAiJ9,1.000000,245.838,0.482905
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T07:42:52.776420Z,xJeYxA9,1.000000,322.423,0.821931
