System Export Report
Generated: 2024-03-17
Status: OK
timestamp	;inverter_temperature_C;grid_export_raw;irradiance_w_m2;panel_efficiency_pct;ambient_temp_C;voltage_V;current_A;frequency_Hz;reactive_power_kvar;sensor_v1_legacy;estimated_yield_daily ;cloud_cover_pct;humidity_pct;wind_speed_ms;energy_wh;forecast_yield
2024-03-14 00:00:00;28,3600;35,3061;82,8394;8,0029;67,3880;33,5819;75,4583;43,8691;67,3264;26,6829;16,9726;0,5122;9,5456;46,2365;12.000,0000;0,0000
2024-03-14 00:30:00;31,9300;38,5328;39,8285;62,2412;84,5948;38,3224;11,0556;17,4436;21,9307;56,3413;91,8998;64,4702;43,4766;85,1712;12.000,0000;0,0000
2024-03-14 01:00:00;28,4200;61,6928;35,9925;88,8986;59,5715;45,1167;44,0457;5,9710;75,1659;33,0576;33,4508;62,9196;87,8970;95,0603;12.000,0000;0,0000
2024-03-14 01:30:00;31,7000;18,8399;62,2397;20,2211;40,3709;38,2720;16,7780;91,2279;81,7634;9,0319;58,7176;21,5505;66,3638;65,9541;12.000,0000;0,0000
2024-03-14 02:00:00;27,7600;49,6674;93,7381;89,8517;16,3497;24,7593;19,7931;66,0861;92,4588;49,3689;34,6654;0,0236;9,3914;45,0221;12.000,0000;0,0000
2024-03-14 03:00:00;31,0000;84,1638;65,0062;61,4943;46,9880;89,4713;81,7879;52,9948;17,4730;8,9254;46,6807;93,0084;77,8827;84,1746;12.000,0000;0,0000
2024-03-14 03:30:00;28,9000;64,9056;1,3441;22,6287;89,2269;89,4752;34,3864;97,7980;77,9666;31,0010;64,8813;75,4670;46,5281;87,2438;12.000,0000;0,0000
2024-03-14 04:00:00;33,2600;99,1071;33,8652;32,0362;71,8760;74,1252;55,4130;30,8409;29,3422;5,5565;62,1410;44,6499;11,0312;75,2041;12.000,0000;0,0000
2024-03-14 04:30:00;30,9900;61,7121;11,7754;50,9262;55,6356;43,8419;95,1980;54,1265;67,1290;55,9471;37,4198;43,6334;54,8369;59,9735;12.000,0000;0,0000
2024-03-14 05:00:00;27,0600;89,3444;17,7554;16,8647;95,9608;82,3406;94,1040;85,1539;35,0700;86,0228;33,1522;63,1924;48,4670;87,9072;offline;0,0000
2024-03-14 05:30:00;28,8000;74,3486;28,9261;67,6244;20,6041;66,6505;82,7051;69,7393;61,3683;99,2100;62,6039;67,3862;87,4216;53,2925;12.000,0000;0,0000
2024-03-14 06:00:00;28,8700;54,5426;73,0082;36,8860;29,9779;20,7309;53,3712;4,5075;71,6404;82,7324;92,5821;45,5619;45,5208;80,2306;12.000,0000;0,0000
2024-03-14 06:30:00;32,0900;1,1030;36,2884;16,0839;56,0275;95,4228;79,6121;41,4567;55,5985;32,2635;89,7106;56,1059;3,8901;89,8499;50.137,3848;45.961,2409
2024-03-14 07:00:00;39,5000;84,5647;48,4066;64,5272;93,0190;90,1852;68,4861;70,8106;46,4232;17,7711;28,7713;0,5764;60,7179;88,0289;89.755,0803;89.281,2001
2024-03-14 07:30:00;41,4500;66,9470;31,5906;12,8443;52,9684;33,2708;74,9137;85,5592;91,9214;62,3868;47,9305;19,5055;4,6865;61,4381;122.415,7197;124.925,0748
2024-03-14 08:00:00;49,4000;0,4841;80,1172;0,7749;39,1505;98,3527;8,1913;77,3790;34,5458;66,8099;75,1618;0,5545;66,7400;83,8545;169.475,8847;176.875,6479
2024-03-14 08:30:00;56,9500;25,6477;30,4227;41,2747;44,1062;53,5237;36,9161;48,9212;35,7680;65,9643;5,7847;29,0307;39,4770;86,3101;185.984,7399;191.552,4447
2024-03-14 09:00:00;59,2600;62,5153;25,5721;93,6693;59,1300;58,7409;78,2687;10,1875;68,8397;21,5298;0,2806;57,5284;70,2246;24,4285;236.097,6461;253.807,2128
2024-03-14 09:30:00;60,1200;99,1825;69,5991;6,2624;51,6331;20,1647;59,6420;50,3199;95,8687;42,1517;9,0186;81,7807;91,4550;60,1311;266.767,6740;219.682,3217
2024-03-14 10:00:00;60,1000;2,9062;22,3001;63,4044;55,4788;74,0898;31,4364;59,0286;18,4645;73,8224;87,0680;23,8465;43,0593;22,6018;262.213,2660;325.204,6374
2024-03-14 10:30:00;63,9300;80,6203;79,5668;36,6418;30,8617;91,3256;42,2402;64,2782;7,8092;64,9788;39,0831;91,0218;81,4380;30,5793;287.860,3425;317.340,5594
2024-03-14 11:00:00;63,1300;45,1586;39,3333;51,7679;7,0122;28,2699;66,2092;60,1587;70,7107;59,3051;47,8320;83,5148;34,2485;60,0384;288.458,6212;271.200,3005
2024-03-14 11:30:00;65,9800;26,9282;82,0351;35,7360;81,3008;43,6908;7,3896;26,6964;12,5301;88,4991;9,7284;74,9603;0,6427;20,4080;-999.0;273.716,5636
2024-03-14 12:00:00;68,3700;45,5316;28,5789;68,3599;19,9129;73,8918;84,1776;42,3153;16,4111;75,8584;14,8373;37,2041;56,9330;94,4853;306.577,8338;272.586,8779
2024-03-14 12:30:00;72,1500;87,9445;66,7836;74,5478;17,9305;72,0681;78,5237;10,5298;97,2032;65,3246;35,2332;70,0117;32,4622;27,5514;-999.0;283.064,1059
2024-03-14 13:00:00;66,6100;67,8214;68,5261;67,2803;41,9786;45,9731;96,0803;55,5654;83,6241;55,8449;38,9961;30,4749;82,0624;27,2421;308.168,5917;278.861,8266
2024-03-14 13:30:00;61,3500;49,4437;20,4005;52,1568;89,2290;29,7311;8,6933;91,0830;52,7031;87,4947;57,0178;52,6059;56,8060;16,6903;289.692,2671;244.069,3757
2024-03-14 14:00:00;64,0300;63,0985;16,4850;6,2772;88,0618;0,7842;55,1531;4,4110;87,0475;3,1288;55,0324;7,9162;94,5427;50,5763;265.798,0049;208.833,4176
2024-03-14 14:30:00;61,0000;50,7744;15,3749;21,5697;45,8460;71,9096;15,6554;53,2147;47,3474;86,0073;30,6846;70,6504;18,5040;55,4331;250.376,2803;213.948,8219
2024-03-14 15:00:00;56,4600;28,4945;77,2073;97,8337;69,3340;40,1821;61,6474;58,6510;65,6394;48,4962;39,9182;44,2077;87,5767;39,4008;224.791,2041;157.259,8262
2024-03-14 15:30:00;53,5700;56,8110;20,8533;18,2811;93,5733;6,1276;19,8994;23,5026;89,4819;53,4718;69,6380;7,8328;30,7172;95,2315;-999.0;185.520,4090
2024-03-14 16:00:00;47,7700;41,6368;13,5582;28,6419;49,7892;2,9700;62,7985;67,0463;21,7576;55,5938;58,8436;74,4560;88,9895;19,6554;-999.0;158.630,1813
2024-03-14 16:30:00;44,5200;17,7290;25,8926;46,5817;86,4763;48,8363;24,4782;77,8770;22,6370;85,3597;21,3136;79,3363;94,2168;43,9420;127.014,6251;103.377,7707
2024-03-14 17:00:00;38,3600;99,5163;76,9866;75,8641;37,4336;92,6875;44,8292;60,9251;40,4883;40,1758;10,1980;65,9422;96,5681;77,8242;83.832,9429;81.089,5752
2024-03-14 17:30:00;35,0800;26,1109;88,4884;25,6446;49,1149;37,2283;57,5890;32,4761;7,2679;77,5979;89,6035;7,1527;59,3649;64,8967;53.271,0228;46.467,2848
2024-03-14 18:30:00;30,2600;46,1268;68,2939;36,7418;33,8494;4,1968;32,6792;54,9010;87,3212;15,7587;54,3598;92,4339;62,2530;18,7200;12.000,0000;0,0000
2024-03-14 19:00:00;29,0800;18,2166;48,3779;8,6104;20,1895;56,8339;53,2988;97,6725;58,8991;9,4434;21,7467;72,7058;88,7026;30,8457;12.000,0000;0,0000
2024-03-14 19:30:00;30,1400;65,8857;11,4347;55,3333;95,6949;21,9419;96,5466;12,9960;66,3144;27,1154;24,5110;95,1072;47,8969;68,2545;12.000,0000;0,0000
2024-03-14 20:00:00;30,9800;21,0686;79,1474;71,1011;50,7348;35,4408;80,4299;90,9450;67,6847;81,7085;51,4112;64,1188;2,8033;49,7748;12.000,0000;0,0000
2024-03-14 20:30:00;31,6500;68,9498;72,8919;75,7521;25,1611;5,7023;21,5418;80,5818;20,5110;3,8361;41,6980;50,5534;21,3924;49,6325;12.000,0000;0,0000
2024-03-14 21:00:00;26,3600;2,3320;58,8000;15,1807;96,1549;20,0982;40,1925;46,0594;59,1796;9,2866;80,4037;78,9109;90,8761;29,6166;12.000,0000;0,0000
2024-03-14 21:30:00;31,3600;28,0645;46,5742;9,3753;75,4897;8,1974;54,5747;36,6554;86,7355;73,9188;96,7776;55,1987;96,6264;85,8748;12.000,0000;0,0000
2024-03-14 22:00:00;29,5000;4,4453;88,0240;86,7090;49,2265;62,2518;33,0106;63,7391;39,1146;92,0051;31,8716;43,3228;61,7349;9,7023;12.000,0000;0,0000
2024-03-14 22:30:00;28,9900;32,4979;53,3717;86,1307;89,4571;54,9247;66,9593;52,7198;45,9940;45,0709;87,5791;50,7977;0,1340;31,5955;12.000,0000;0,0000
2024-03-14 23:00:00;31,5400;53,0503;91,8613;27,0843;55,6840;4,0765;8,8401;48,4092;82,7955;55,4499;18,9636;24,5305;92,5602;64,7073;12.000,0000;0,0000
2024-03-14 23:30:00;28,7000;20,7291;54,3480;2,7288;83,9928;15,6209;78,6088;20,0093;65,4027;91,2043;0,1003;46,0550;38,9851;7,8244;12.000,0000;0,0000
2024-03-15 00:00:00;30,6200;36,0360;81,6265;0,9550;40,8701;48,6478;17,7883;62,5109;59,9820;44,2940;10,1158;8,3962;2,5513;54,0665;timeout;0,0000
2024-03-15 00:30:00;31,8100;19,6096;11,5025;82,6481;94,9552;92,7147;75,0673;2,0186;33,9892;54,3651;48,6501;50,7433;69,0311;52,8619;12.000,0000;0,0000
2024-03-15 01:00:00;29,6200;96,3567;12,2930;60,5591;86,8922;39,5497;90,4053;82,0118;7,9388;8,3490;93,9601;45,8638;58,4508;76,8190;12.000,0000;0,0000
2024-03-15 01:30:00;28,8600;16,4674;67,2228;72,1552;39,5980;49,5145;87,7960;39,7794;76,0365;29,5179;37,6918;24,8600;16,3186;61,1737;12.000,0000;0,0000
2024-03-15 02:00:00;27,6100;62,0443;35,7122;18,9721;45,6472;26,4225;89,4044;59,4777;36,2339;76,4771;34,0866;36,1832;45,1553;29,4427;12.000,0000;0,0000
2024-03-15 02:30:00;34,2000;95,2024;18,0988;74,0807;34,0582;90,2990;95,6232;55,0279;56,1524;83,2860;53,0407;11,5345;83,7254;17,6690;12.000,0000;0,0000
2024-03-15 03:00:00;29,8400;8,2078;74,0348;98,8309;28,0355;18,4378;89,5712;77,0573;52,8433;90,8455;39,3483;66,8271;98,6353;26,2536;12.000,0000;0,0000
2024-03-15 03:30:00;30,1800;83,1940;7,2268;45,5669;25,7499;91,8892;66,5442;15,8431;42,3907;94,6023;6,4343;96,9598;92,3427;29,8366;12.000,0000;0,0000
2024-03-15 04:00:00;29,3300;65,8393;6,3831;87,2878;34,0081;91,8545;41,2908;53,8762;47,0021;9,8879;71,4309;45,4963;70,8322;97,0293;888888.8;0,0000
2024-03-15 04:00:00;29,3300;65,8393;6,3831;87,2878;34,0081;91,8545;41,2908;53,8762;47,0021;9,8879;71,4309;45,4963;70,8322;97,0293;12.000,0000;0,0000
2024-03-15 04:30:00;29,7300;2,1701;68,9191;82,3282;76,8096;5,6737;0,9261;27,8760;85,2379;95,8831;44,2715;73,0191;76,8210;28,7416;12.000,0000;0,0000
2024-03-15 05:00:00;28,8100;36,3659;46,9123;38,1082;98,7846;3,9300;93,1935;70,7605;2,2898;81,8142;43,7766;45,0172;46,3481;31,3958;12.000,0000;0,0000
2024-03-15 05:30:00;29,4200;42,0110;9,7256;16,5439;35,6811;88,2951;33,6876;88,4095;19,6056;25,9969;78,3283;34,2557;70,2459;92,8781;12.000,0000;0,0000
2024-03-15 06:00:00;31,2000;47,7117;56,6483;83,4942;56,0262;59,9325;93,7032;33,3893;5,0874;77,9707;46,9456;70,7805;63,6219;45,3309;12.000,0000;0,0000
2024-03-15 06:30:00;33,9500;53,1586;95,3272;85,2665;52,9818;1,6263;78,1895;79,4484;36,0416;26,7592;4,5077;66,1417;12,7719;23,2436;-999.0;34.611,6147
2024-03-15 07:00:00;36,1100;97,3746;28,7644;63,4609;90,3432;19,9063;60,5813;32,8959;86,2907;17,2148;57,8655;56,5187;46,4940;7,2524;-999.0;72.943,7644
2024-03-15 07:30:00;46,6600;51,0530;82,9727;7,5040;10,6364;9,3646;77,2842;97,8881;13,1473;35,6705;38,3425;94,4880;39,0434;88,2508;116.451,8444;79.556,4964
2024-03-15 08:00:00;48,1200;81,5959;40,0403;1,8035;13,0876;95,6573;43,3696;93,2077;32,2823;9,0985;57,8156;17,8576;0,0755;71,3299;154.818,6078;110.632,4917
2024-03-15 08:30:00;53,2900;70,0579;89,4114;76,4256;20,2787;91,1156;46,3003;10,7173;13,8344;4,6872;80,7801;79,8756;83,2554;1,0107;207.903,1835;178.210,5584
2024-03-15 09:00:00;55,7400;70,0641;23,0524;54,0267;34,7445;70,1951;54,3135;73,6420;81,4280;55,0049;91,4913;16,5762;44,6736;5,8473;212.991,5899;199.513,4790
2024-03-15 09:30:00;60,6900;98,2025;75,3228;34,6546;39,7529;56,2866;45,1921;75,4468;64,1866;14,0094;36,5623;19,5889;92,5627;15,6244;261.415,7211;182.104,1725
2024-03-15 10:00:00;62,1700;87,9272;69,8688;21,5289;47,9998;24,5418;83,2241;9,4650;7,3635;39,8738;66,7894;92,0360;25,6911;69,7722;268.138,2831;207.831,5780
2024-03-15 10:30:00;63,2900;9,5385;50,5398;0,0809;36,8189;36,8624;79,5851;19,9636;48,3134;42,1902;48,9781;52,5531;39,1275;63,0226;-999.0;229.841,6881
2024-03-15 11:00:00;68,9000;27,4353;43,4417;92,1030;62,3950;72,8723;32,3111;27,2675;57,6624;29,5472;53,0828;78,3792;68,3173;99,4359;888888.8;274.956,7432
2024-03-15 11:00:00;68,9000;27,4353;43,4417;92,1030;62,3950;72,8723;32,3111;27,2675;57,6624;29,5472;53,0828;78,3792;68,3173;99,4359;301.073,1557;274.956,7432
2024-03-15 11:30:00;68,6700;21,0084;57,7299;52,3193;48,6090;66,8901;69,0965;83,2385;46,5709;62,4132;5,3447;46,7629;1,1055;59,2209;313.602,3784;242.221,0971
2024-03-15 12:00:00;70,8200;10,2762;40,4431;9,9444;99,2274;57,8384;74,4283;54,7700;60,1700;53,0300;77,0075;16,0919;78,7875;12,5200;-999.0;423.710,1677
2024-03-15 12:30:00;65,6900;64,7129;40,0107;92,3224;52,8660;7,2577;52,6876;34,1591;37,6022;3,1443;12,0503;58,0971;46,8441;34,5332;303.024,6081;317.187,0522
2024-03-15 13:00:00;68,8800;32,6377;24,5835;72,6805;67,0591;68,1191;11,7620;64,6823;5,9932;4,4118;12,7734;98,3796;68,7189;9,5919;-999.0;302.946,8783
2024-03-15 13:30:00;63,0400;61,1850;97,4241;13,6000;42,6030;0,0097;70,9428;58,5985;67,5255;76,9311;40,2674;95,4526;89,6685;62,1157;-999.0;220.663,0306
2024-03-15 14:00:00;63,5000;57,5114;28,4458;70,2957;2,3540;66,9508;82,7136;74,4712;7,4456;27,0370;21,6244;8,3629;86,4084;62,1061;274.112,4423;259.543,1508
2024-03-15 14:30:00;57,9400;9,0749;8,1496;75,4711;3,8782;97,1591;48,8106;74,1038;8,2598;64,7997;54,1441;16,4046;46,8019;69,2178;224.633,6186;198.821,5919
2024-03-15 15:00:00;61,1000;80,5866;36,5288;69,8186;7,5827;78,2113;34,4188;64,9719;49,9249;12,9497;88,8211;79,9458;47,1041;73,8306;228.865,9990;212.572,1529
2024-03-15 15:30:00;52,2900;6,4346;80,6700;86,3190;65,4681;68,8078;35,6829;90,4455;84,3547;35,5226;17,5272;74,9970;65,4883;76,5118;-999.0;195.703,9448
2024-03-15 16:00:00;51,1100;19,0353;50,2861;45,1802;69,0324;72,2505;20,0078;88,3937;38,1127;50,3577;70,0618;33,0901;65,1339;51,0607;176.026,6858;191.295,1883
