System Export Report
Generated: 2024-03-17
Status: OK
timestamp	;inverter_temperature_C;grid_export_raw;irradiance_w_m2;panel_efficiency_pct;ambient_temp_C;voltage_V;current_A;frequency_Hz;reactive_power_kvar;sensor_v1_legacy;estimated_yield_daily ;cloud_cover_pct;humidity_pct;wind_speed_ms;yield_wh ;yield_wh;forecast_yield
14.03.2024 00:00:00;35,4600;82,2973;69,0786;71,1297;6,4008;64,1699;8,1321;65,1273;97,3937;47,9173;80,0277;4,5463;2,0369;63,1787;-1.500,0000;0,0000;0,0000
2024-03-14 00:15:00;32,4500;2,7039;25,1506;30,6665;90,3098;86,7002;78,3381;41,0832;53,2115;8,6676;8,9026;57,9454;27,9561;5,6118;-1.500,0000;0,0000;0,0000
2024-03-14 00:30:00;31,5900;61,0375;13,1440;6,7061;18,1924;84,7888;38,8591;50,1151;20,0534;71,3726;90,7574;76,1013;64,8537;23,7906;-1.500,0000;0,0000;0,0000
2024-03-14 00:45:00;33,0900;4,4333;43,2615;54,3252;48,4914;8,7518;32,3514;25,5325;47,8104;32,7683;19,7982;11,6517;28,7628;86,2139;-1.500,0000;0,0000;0,0000
2024-03-14 01:00:00;30,1200;22,7155;89,7121;88,9446;8,5129;19,1711;70,8679;43,1341;76,4871;52,3496;75,4481;90,2485;22,3937;1,9294;-1.500,0000;0,0000;0,0000
2024-03-14 01:15:00;27,7600;62,6268;10,6223;32,6169;94,2149;88,1388;56,5754;18,5726;28,3852;28,8421;94,4764;7,8718;68,2222;56,1740;-1.500,0000;0,0000;0,0000
14.03.2024 01:30:00;29,1100;14,6440;77,4396;79,3217;78,6980;86,8387;44,2144;23,8999;19,0822;91,3960;54,7203;15,7137;36,8134;95,5917;-1.500,0000;0,0000;0,0000
2024-03-14 01:45:00;27,7400;88,1254;44,0286;3,7853;42,6563;52,9555;45,9020;33,4586;87,1389;95,6259;4,0709;26,9556;24,0185;39,5416;-1.500,0000;0,0000;0,0000
2024-03-14 02:00:00;29,3200;82,3859;11,2887;59,8058;85,6124;47,9763;97,9335;28,3444;72,1389;31,9449;5,4778;48,3577;22,9388;37,2354;-1.500,0000;0,0000;0,0000
2024-03-14 02:15:00;31,8600;7,6367;49,0102;94,3412;18,5108;66,1504;29,4822;58,8559;27,9911;90,4033;82,0017;70,3092;10,8310;73,0423;-1.500,0000;0,0000;0,0000
2024-03-14 02:30:00;29,2400;61,3293;60,2489;90,5808;77,4969;76,0894;1,2814;11,8954;80,0247;12,2721;80,8281;16,2521;42,0872;98,2853;-1.500,0000;0,0000;0,0000
2024-03-14 02:45:00;28,9700;35,7900;10,1996;25,5670;12,9871;33,7751;37,2963;36,0778;46,4563;57,2750;16,0563;20,6624;57,0218;94,2285;-1.500,0000;0,0000;0,0000
2024-03-14 03:00:00;30,0900;7,0056;55,1684;25,4859;96,3088;94,7385;14,8395;95,9793;15,0690;79,6472;27,4834;63,3859;40,1888;90,9079;-1.500,0000;0,0000;0,0000
2024-03-14 03:15:00;32,3400;43,6539;85,6093;82,7946;88,1014;71,6639;51,9530;11,0950;42,6198;49,6616;37,2421;94,5028;30,1539;45,7435;-1.500,0000;0,0000;0,0000
2024-03-14 03:30:00;29,7100;25,6566;34,0664;9,2176;61,1125;44,6433;84,7510;31,1943;15,9540;60,2945;40,4186;18,9114;75,8466;64,4868;-1.500,0000;0,0000;0,0000
2024-03-14 03:45:00;29,0200;6,2331;11,2662;54,4351;84,9679;59,4226;43,6214;74,1734;80,4497;85,1105;60,9189;15,9976;2,2936;43,2013;-1.500,0000;0,0000;0,0000
2024-03-14 04:00:00;31,6900;80,5160;88,7056;6,0552;71,2409;8,9606;20,8768;35,7340;42,8160;47,5455;57,6706;72,9786;48,9749;73,3840;-1.500,0000;0,0000;0,0000
14.03.2024 04:15:00;32,4200;92,5874;62,7007;50,2306;11,7546;79,9007;83,0374;57,9499;72,7278;41,1297;27,0692;7,8990;75,2349;96,1320;-1.500,0000;0,0000;0,0000
2024-03-14 04:30:00;29,9100;57,1796;38,4319;3,1428;30,1371;19,4778;44,8507;17,8854;31,5725;71,5077;55,2396;3,3829;88,3643;41,7736;-1.500,0000;0,0000;0,0000
2024-03-14 04:45:00;29,4600;17,8525;10,1562;81,6737;46,4611;93,7985;8,3519;36,8895;55,1270;8,2682;35,8600;12,1182;2,4150;4,2377;-1.500,0000;0,0000;0,0000
2024-03-14 05:00:00;29,8600;25,9338;69,0352;4,4987;61,0229;46,9242;31,8850;93,8984;52,7593;63,3320;95,2875;23,2652;18,9455;60,4625;-1.500,0000;0,0000;0,0000
14.03.2024 05:15:00;29,3200;74,7651;26,3583;6,6239;65,3272;59,3559;75,6670;98,4893;2,4939;42,6411;58,2810;85,7625;64,5366;16,6669;-1.500,0000;0,0000;0,0000
2024-03-14 05:30:00;30,2200;98,0659;24,6670;44,5626;51,9506;31,0816;65,2102;72,8550;56,5041;86,7995;46,9652;40,5761;44,8460;52,7909;-1.500,0000;0,0000;0,0000
2024-03-14 05:45:00;28,3200;59,0102;99,8221;85,6716;18,2187;11,5555;43,1687;79,3468;82,4050;74,9166;42,7304;34,4678;89,9473;62,1818;-1.500,0000;0,0000;0,0000
2024-03-14 06:00:00;30,8500;98,1279;34,0586;49,4542;96,1169;92,3531;55,5863;83,8433;25,7384;17,1615;94,4243;83,2526;22,6882;80,9516;-1.500,0000;0,0000;0,0000
2024-03-14 06:15:00;30,9700;77,3909;45,6899;69,8295;32,7224;24,0426;24,6855;0,9848;10,7304;98,9938;76,5576;31,8747;98,3303;1,5265;14.248,9691;29.608,0620;15.272,6018
14.03.2024 06:30:00;31,5900;71,1321;27,7096;27,6692;27,9943;99,6560;57,4211;47,2851;12,5861;61,6939;88,4328;69,6596;10,6824;29,5324;28.985,6097;57.312,9462;31.342,9749
14.03.2024 06:45:00;37,9400;93,2809;71,7026;49,8867;57,2958;72,1687;94,7643;6,7668;39,8310;54,4611;14,8786;73,0572;13,3613;22,9298;44.065,7179;85.663,5496;35.766,9505
2024-03-14 07:00:00;39,7900;29,5230;3,2306;2,7827;1,7463;35,9563;16,5061;53,1717;42,3353;70,3233;71,4584;94,6943;80,8477;43,9320;60.291,8826;116.168,7392;55.806,8584
2024-03-14 07:15:00;41,2900;37,4724;33,7484;23,5643;17,5424;64,0277;86,8607;94,3420;34,9029;96,2615;81,1177;82,3165;65,3013;95,9542;70.066,7820;134.545,5502;59.783,3830
2024-03-14 07:30:00;42,9700;36,8425;43,2677;4,7093;87,4272;93,2019;90,5386;91,8161;8,1410;42,0296;45,4271;9,1912;68,7882;79,1013;78.870,7232;151.096,9597;84.700,3614
2024-03-14 07:45:00;43,5200;89,4229;88,6377;57,1040;12,7238;46,1400;49,2092;86,6767;37,2142;95,3278;14,1907;4,1437;57,9351;70,7321;-999.0;173.607,6636;84.344,6617
2024-03-14 08:00:00;47,7000;17,2839;71,7400;16,9585;16,2195;34,9050;9,1395;14,3373;13,8189;36,6798;22,2258;39,0145;5,8841;26,9634;-999.0;222.009,9578;112.850,0106
2024-03-14 08:15:00;51,1800;75,9881;83,6846;68,6716;41,2588;29,5411;40,7399;38,8771;92,9614;19,0858;40,5826;15,1405;93,1193;58,3305;129.416,5287;246.123,0739;88.148,5540
2024-03-14 08:30:00;50,5200;41,4564;71,6444;10,5454;57,3154;21,5810;88,8456;82,2656;84,9394;13,8238;42,3954;26,0810;8,8229;0,6376;125.369,6911;238.515,0193;135.397,7041
14.03.2024 08:45:00;54,1600;10,2741;75,9826;75,9603;61,9237;41,2229;69,1457;67,6090;94,4326;0,5836;39,0312;51,1230;77,7748;61,6395;150.298,2361;285.380,6838;187.612,5752
14.03.2024 09:00:00;56,1600;55,6002;45,4059;32,5499;36,0088;87,9338;87,8529;12,4637;90,2198;32,3958;30,2644;13,4691;83,4699;65,8886;169.475,0086;321.433,0161;168.496,0604
14.03.2024 09:15:00;57,1300;77,7467;28,0910;63,1164;9,8304;90,1903;9,4495;77,3259;94,6823;81,4734;84,0858;74,1487;17,9090;7,1528;169.875,4888;322.185,9190;198.636,5816
2024-03-14 09:30:00;55,6100;12,8302;86,2882;54,9070;41,8641;75,9530;47,2195;38,7106;42,3414;75,5217;8,0553;45,0546;10,4794;62,6988;175.415,8319;332.601,7640;186.549,3788
2024-03-14 09:45:00;60,3100;98,7744;24,2602;97,2407;47,9550;48,9672;75,0160;36,1878;79,7102;56,8927;73,8606;70,4699;21,3866;27,5735;204.207,6089;386.730,3048;205.226,7958
2024-03-14 10:00:00;63,3900;2,2370;52,3970;36,5387;33,1666;25,7089;13,1701;30,5246;75,6484;99,4893;37,6199;89,0579;79,1456;44,5837;199.680,6555;378.219,6323;210.530,6246
2024-03-14 10:15:00;62,6500;64,5718;90,9988;22,9492;33,7591;76,7758;32,9924;11,2097;24,1169;26,4552;87,6201;77,0101;67,8931;48,0208;-999.0;414.403,3632;227.103,3369
14.03.2024 10:30:00;67,0000;67,5616;59,1368;91,1545;90,0582;91,1529;54,8350;85,9993;94,5312;78,0091;53,5450;10,9151;70,1038;33,5381;229.732,3061;434.716,7354;191.396,8459
2024-03-14 10:45:00;64,2100;52,8031;2,2332;95,7300;7,2293;77,7250;40,1958;28,5453;5,7510;6,4795;21,0723;64,2466;37,2065;50,9701;207.692,2123;393.281,3591;169.794,4505
2024-03-14 11:00:00;66,9200;45,5731;49,8184;41,6575;49,8554;47,6774;40,4047;26,6770;79,6743;26,4436;16,5559;65,3998;23,1591;19,3451;229.854,3966;434.946,2656;222.144,8026
2024-03-14 11:15:00;62,8800;34,9646;45,4829;73,0570;35,7603;73,4147;92,7405;76,1039;92,7940;80,3927;71,0817;0,5270;48,3443;15,0007;221.848,3496;419.894,8972;181.212,5907
2024-03-14 11:30:00;65,9600;36,6555;98,4654;17,0981;81,1447;32,7174;0,2243;46,7834;49,3528;13,2113;78,1041;18,9140;91,5506;33,9958;234.067,3853;442.866,6844;263.992,2497
2024-03-14 11:45:00;64,8000;50,2047;34,1305;3,9604;13,5796;39,0447;81,9571;26,9202;93,7498;80,8716;6,7995;55,1565;95,5080;81,9580;217.261,7997;411.272,1834;232.936,3815
2024-03-14 12:00:00;65,3400;56,4778;37,2289;10,8186;13,4864;19,0834;92,4334;11,0578;96,9509;96,1323;78,3514;12,2537;73,3596;50,7221;227.706,1112;430.907,4891;250.522,9933
2024-03-14 12:15:00;67,5600;30,8296;32,1481;83,4801;34,3340;86,4148;79,7357;53,2294;92,1118;50,6213;8,5533;73,7750;59,0165;98,4669;238.727,5101;451.627,7190;274.399,3226
;;;;;;;;;;;;;;;;;
2024-03-14 12:30:00;66,1900;66,2686;87,9459;37,6897;11,9303;45,7510;89,0146;8,6826;32,4085;34,2458;73,4455;91,0332;15,1856;44,5440;235.075,6980;444.762,3123;256.595,7358
14.03.2024 12:45:00;68,1600;92,3393;93,8527;36,3814;77,3258;88,3290;89,3934;14,9592;36,5132;6,5411;40,0947;40,3410;16,2038;27,9195;232.781,2777;440.448,8020;218.286,5739
2024-03-14 13:00:00;65,8700;47,7040;97,6149;64,5526;73,6111;22,3225;84,7300;0,9509;88,6819;1,2611;85,2925;22,1087;45,0782;35,5170;240.504,5894;454.968,6280;237.070,8972
