model_name,agent_name,reasoning_effort,started_at,trial_id,reward,duration_sec,cost_usd
openai/gpt-5.5,codex,xhigh,2026-07-09T19:45:08.105485Z,6q2zdqt,0.580482,418.429,2.083955
openai/gpt-5.4,codex,xhigh,2026-07-09T19:45:08.115373Z,7Hp7rUN,0.547345,333.191,0.820649
openai/gpt-5.5,codex,xhigh,2026-07-09T19:52:06.544909Z,8UqtCQx,0.587867,423.598,1.828107
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T19:55:23.533982Z,BnYWR44,0.605239,1178.106,3.554885
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T19:59:29.537599Z,GFBbMem,0.552800,780.604,2.507036
deepseek/deepseek-reasoner,opencode,high,2026-07-09T19:45:08.194765Z,HLL2yib,0.641253,611.593,0.046536
deepseek/deepseek-reasoner,opencode,high,2026-07-09T20:03:52.395006Z,KxXEUjw,0.515663,426.062,0.031884
openai/gpt-5.4,codex,xhigh,2026-07-09T19:45:08.177073Z,NYwK3f9,0.587867,386.501,1.082023
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T19:57:58.330710Z,PYKbSr4,0.261201,530.864,1.465482
openai/gpt-5.5,codex,xhigh,2026-07-09T19:59:43.240655Z,PooZhxk,0.587867,265.885,1.126932
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T19:45:08.147500Z,QkSB3Uj,0.587700,770.070,3.781877
openai/gpt-5.4,codex,xhigh,2026-07-09T19:52:34.082433Z,SjUZhWg,0.605239,429.149,1.361524
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T19:45:08.126462Z,TxanYwx,0.587700,591.326,1.673713
deepseek/deepseek-reasoner,opencode,high,2026-07-09T19:58:26.999502Z,UnQo6tV,0.740209,842.977,0.040523
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T19:45:08.094234Z,VdZgK54,0.570172,770.227,1.865338
openai/gpt-5.5,codex,xhigh,2026-07-09T19:57:13.654607Z,VnU5a8s,0.262515,348.807,1.317390
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T19:45:08.158255Z,WDP2MKp,0.570172,725.485,1.648557
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T19:51:34.688192Z,WniqZFx,0.570172,474.839,1.335608
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T19:55:19.798442Z,WxBmPne,0.552800,554.564,3.022995
deepseek/deepseek-reasoner,opencode,high,2026-07-09T19:45:08.137786Z,X8svAvD,0.899075,798.851,0.059774
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T19:54:59.462515Z,fpAQgk3,0.580315,690.237,2.304029
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T19:59:10.154408Z,hjCwes6,0.580482,746.415,4.493912
openai/gpt-5.4,codex,xhigh,2026-07-09T20:01:16.377034Z,kvkBNhv,0.262515,255.218,0.806490
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T19:45:08.032918Z,pqXFRfN,0.580482,615.490,2.397615
openai/gpt-5.5,codex,xhigh,2026-07-09T19:45:08.168146Z,sm4DcWF,0.580482,445.904,1.629956
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T19:50:41.336532Z,u6fgBGf,0.587867,635.017,3.595566
openai/gpt-5.4,codex,xhigh,2026-07-09T19:57:58.227181Z,uGrivwN,0.363157,354.157,1.187429
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T20:03:02.471430Z,uQ3szrA,0.499465,532.845,2.284321
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T19:45:08.186368Z,vefNaVd,0.580315,597.678,1.604307
deepseek/deepseek-reasoner,opencode,high,2026-07-09T19:55:05.874702Z,zLPkzvE,0.580482,732.892,0.038664
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T07:52:26.943034Z,4yTju4N,0.580482,421.535,1.240633
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T07:52:26.963201Z,ELAt3XS,0.587867,343.231,0.994950
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T07:52:26.953029Z,EwXGDeQ,0.580315,548.258,2.388308
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T07:52:26.911185Z,RLEufhW,0.605072,483.974,1.727385
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T07:52:26.921706Z,S4EPzXV,0.547345,527.411,1.191120
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T07:52:26.984877Z,YHcqkuS,0.580482,398.822,0.983111
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T07:52:26.817787Z,ggoMRL3,0.587867,437.442,0.877721
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T07:52:26.931902Z,mgUVsw3,0.580315,554.428,2.285879
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T07:52:26.974695Z,pFT2rZx,0.587700,439.497,1.709906
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T07:52:26.994211Z,rocUZtC,0.580315,494.281,1.595942
