product_id,name,ean_code,unit_price,storage_category,unit_weight_kg,max_safe_temp_c
8S2TFS89,Vanilla Ice Cream 1L,5900000000001,13,Frozen,0.9,-10
8WKVXJ8T,Chocolate Ice Cream 500ml,5900000000002,10,Frozen,0.55,-10
MRDWM7KH,Strawberry Ice Cream 500ml,5900000000003,10,Frozen,0.55,-10
WKMNYJ7M,Frozen Mixed Vegetables 500g,5900000000004,5,Frozen,0.52,-10
38YNY32B,Frozen Peas 400g,5900000000005,4,Frozen,0.42,-10
CJMZCQ36,Frozen Corn 400g,5900000000006,4,Frozen,0.42,-10
BQJW4VVV,Frozen Spinach 400g,5900000000007,5,Frozen,0.42,-10
JXFS7FCC,Frozen French Fries 1kg,5900000000008,8,Frozen,1.05,-10
AHJC5DJJ,Frozen Pizza Margherita 360g,5900000000009,12,Frozen,0.38,-10
TVPMX3Q8,Fish Fingers 400g,5900000000010,9,Frozen,0.42,-10
3K8HYYKV,Frozen Chicken Wings 1kg,5900000000011,16,Frozen,1.05,-10
M3KWSJ67,Frozen Dumplings 500g,5900000000012,10,Frozen,0.52,-10
SVJZ5YQ3,Frozen Berries Mix 400g,5900000000013,9,Frozen,0.42,-10
M2FPXB2R,Frozen Broccoli 400g,5900000000014,5,Frozen,0.42,-10
S6KEE3MX,Frozen Shrimp 400g,5900000000015,23,Frozen,0.42,-10
BZ6G6CMJ,Norwegian Salmon Fillet,5900000000016,89,Meat,1.0,4
JW2NGHNN,Chicken Breast 1kg,5900000000017,20,Meat,1.05,4
9ZQHATAP,Ground Beef 500g,5900000000018,15,Meat,0.52,4
H995SZPT,Pork Chops 1kg,5900000000019,18,Meat,1.05,4
CNSYM5KE,Bacon 200g,5900000000020,9,Meat,0.22,4
5BPQAJ46,Turkey Breast 500g,5900000000021,17,Meat,0.52,4
PHJ78SQ5,Beef Steak 300g,5900000000022,30,Meat,0.32,4
JQQZB92E,Pork Ribs 1kg,5900000000023,19,Meat,1.05,4
2HPSYNG4,Chicken Drumsticks 1kg,5900000000024,13,Meat,1.05,4
C75VQD4N,Lamb Chops 500g,5900000000025,35,Meat,0.52,4
VKXXAHSC,Veal Cutlets 400g,5900000000026,40,Meat,0.42,4
ESMJ8RTM,Pork Belly 500g,5900000000027,17,Meat,0.52,4
M2RHAZSD,Beef Tenderloin 400g,5900000000028,45,Meat,0.42,4
Y3Y9KJ49,Sausages 500g,5900000000029,11,Meat,0.52,4
2WHVNHPY,Ham Slices 200g,5900000000030,9,Meat,0.22,4
XQVVKRQ3,Full Fat Milk 1L,5900000000031,4,Dairy,1.03,6
JSSK3KST,Semi-Skimmed Milk 1L,5900000000032,3,Dairy,1.03,6
R9WDAAKQ,Cheddar Cheese 200g,5900000000033,9,Dairy,0.22,6
WFG7CVR4,Natural Yogurt 400g,5900000000034,5,Dairy,0.42,6
D4WAW6RP,Butter 200g,5900000000035,8,Dairy,0.22,6
NGJ6P5S6,Heavy Cream 200ml,5900000000036,5,Dairy,0.21,6
56G8FH4H,Mozzarella 125g,5900000000037,6,Dairy,0.13,6
6BB22NDY,Gouda Cheese 200g,5900000000038,9,Dairy,0.22,6
