timestamp,zone,temperature_c
2023-07-01 00:00:00,frozen,"-17,3"
2023-07-01 00:00:00,Meat,2.24
2023-07-01 00:00:00,Dairy,3.37
2023-07-01 00:00:00,Dry,20.21
2023-07-01 02:00:00,frozen,"-16,82"
2023-07-01 02:00:00,Meat,2.34
2023-07-01 02:00:00,Dairy,3.77
2023-07-01 02:00:00,Dry,19.22
2023-07-01 04:00:00,frozen,"-16,47"
2023-07-01 04:00:00,Meat,2.09
2023-07-01 04:00:00,Dairy,4.09
2023-07-01 04:00:00,Dry,18.41
2023-07-01 06:00:00,frozen,"-17,43"
2023-07-01 06:00:00,Meat,1.94
2023-07-01 06:00:00,Dairy,3.94
2023-07-01 06:00:00,Dry,18.58
2023-07-01 08:00:00,frozen,"-16,5"
2023-07-01 08:00:00,Meat,1.58
2023-07-01 08:00:00,Dairy,3.95
2023-07-01 08:00:00,Dry,20.22
2023-07-01 10:00:00,frozen,"-17,37"
2023-07-01 10:00:00,Meat,1.67
2023-07-01 10:00:00,Dairy,4.08
2023-07-01 10:00:00,Dry,19.27
2023-07-01 12:00:00,frozen,"-16,99"
2023-07-01 12:00:00,Meat,2.53
2023-07-01 12:00:00,Dairy,4.34
2023-07-01 12:00:00,Dry,19.26
2023-07-01 14:00:00,frozen,"-16,72"
2023-07-01 14:00:00,Meat,2.93
2023-07-01 14:00:00,Dairy,3.92
2023-07-01 14:00:00,Dry,14.99
2023-07-01 16:00:00,frozen,"-16,2"
2023-07-01 16:00:00,Meat,1.82
2023-07-01 16:00:00,Dairy,4.04
2023-07-01 16:00:00,Dry,19.96
2023-07-01 18:00:00,frozen,"-17,8"
2023-07-01 18:00:00,Meat,1.5
2023-07-01 18:00:00,Dairy,3.36
2023-07-01 18:00:00,Dry,16.81
2023-07-01 20:00:00,frozen,"-16,78"
2023-07-01 20:00:00,Meat,2.21
2023-07-01 20:00:00,Dairy,4.11
2023-07-01 20:00:00,Dry,15.88
2023-07-01 22:00:00,frozen,"-18,16"
2023-07-01 22:00:00,Meat,2.02
2023-07-01 22:00:00,Dairy,3.81
2023-07-01 22:00:00,Dry,18.69
2023-07-02 00:00:00,frozen,"-16,65"
2023-07-02 00:00:00,Meat,2.06
2023-07-02 00:00:00,Dairy,4.3
2023-07-02 00:00:00,Dry,18.34
2023-07-02 02:00:00,frozen,"-16,73"
2023-07-02 02:00:00,Meat,1.72
2023-07-02 02:00:00,Dairy,3.93
2023-07-02 02:00:00,Dry,18.3
2023-07-02 04:00:00,frozen,"-16,59"
2023-07-02 04:00:00,Meat,1.84
2023-07-02 04:00:00,Dairy,4.21
2023-07-02 04:00:00,Dry,17.6
2023-07-02 06:00:00,frozen,"-17,06"
2023-07-02 06:00:00,Meat,2.33
2023-07-02 06:00:00,Dairy,3.2
2023-07-02 06:00:00,Dry,16.06
2023-07-02 08:00:00,frozen,"-17,74"
2023-07-02 08:00:00,Meat,1.07
2023-07-02 08:00:00,Dairy,3.73
2023-07-02 08:00:00,Dry,19.12
2023-07-02 10:00:00,frozen,"-17,14"
2023-07-02 10:00:00,Meat,2.08
2023-07-02 10:00:00,Dairy,4.44
2023-07-02 10:00:00,Dry,19.99
2023-07-02 12:00:00,frozen,"-17,03"
2023-07-02 12:00:00,Meat,2.54
2023-07-02 12:00:00,Dairy,4.04
2023-07-02 12:00:00,Dry,16.74
2023-07-02 14:00:00,frozen,"-17,3"
2023-07-02 14:00:00,Meat,1.41
2023-07-02 14:00:00,Dairy,3.64
2023-07-02 14:00:00,Dry,17.46
2023-07-02 16:00:00,frozen,"-16,6"
2023-07-02 16:00:00,Meat,2.69
2023-07-02 16:00:00,Dairy,3.45
2023-07-02 16:00:00,Dry,18.59
2023-07-02 18:00:00,frozen,"-17,52"
2023-07-02 18:00:00,Meat,2.19
2023-07-02 18:00:00,Dairy,3.95
2023-07-02 18:00:00,Dry,15.25
2023-07-02 20:00:00,frozen,"-16,54"
2023-07-02 20:00:00,Meat,1.76
2023-07-02 20:00:00,Dairy,3.79
2023-07-02 20:00:00,Dry,16.4
2023-07-02 22:00:00,frozen,"-17,33"
2023-07-02 22:00:00,Meat,2.17
2023-07-02 22:00:00,Dairy,3.92
2023-07-02 22:00:00,Dry,18.49
2023-07-03 00:00:00,frozen,"-16,82"
2023-07-03 00:00:00,Meat,2.53
2023-07-03 00:00:00,Dairy,3.86
2023-07-03 00:00:00,Dry,15.78
2023-07-03 02:00:00,frozen,"-16,47"
2023-07-03 02:00:00,Meat,1.87
2023-07-03 02:00:00,Dairy,4.45
2023-07-03 02:00:00,Dry,18.58
2023-07-03 04:00:00,frozen,"-17,07"
2023-07-03 04:00:00,Meat,2.14
2023-07-03 04:00:00,Dairy,4.78
2023-07-03 04:00:00,Dry,21.12
2023-07-03 06:00:00,frozen,"-16,97"
2023-07-03 06:00:00,Meat,2.06
2023-07-03 06:00:00,Dairy,4.43
2023-07-03 06:00:00,Dry,16.73
2023-07-03 08:00:00,frozen,"-16,83"
2023-07-03 08:00:00,Meat,1.99
2023-07-03 08:00:00,Dairy,4.13
2023-07-03 08:00:00,Dry,16.75
2023-07-03 10:00:00,frozen,"-17,79"
2023-07-03 10:00:00,Meat,1.17
2023-07-03 10:00:00,Dairy,3.55
2023-07-03 10:00:00,Dry,17.31
2023-07-03 12:00:00,frozen,"-17,15"
2023-07-03 12:00:00,Meat,2.77
2023-07-03 12:00:00,Dairy,4.44
2023-07-03 12:00:00,Dry,16.56
2023-07-03 14:00:00,frozen,"-16,83"
2023-07-03 14:00:00,Meat,1.84
2023-07-03 14:00:00,Dairy,3.89
2023-07-03 14:00:00,Dry,18.28
2023-07-03 16:00:00,frozen,"-16,69"
2023-07-03 16:00:00,Meat,1.86
2023-07-03 16:00:00,Dairy,4.43
2023-07-03 16:00:00,Dry,16.29
2023-07-03 18:00:00,frozen,"-17,0"
2023-07-03 18:00:00,Meat,3.04
2023-07-03 18:00:00,Dairy,4.09
2023-07-03 18:00:00,Dry,20.15
2023-07-03 20:00:00,frozen,"-16,95"
2023-07-03 20:00:00,Meat,2.23
2023-07-03 20:00:00,Dairy,3.98
2023-07-03 20:00:00,Dry,17.74
2023-07-03 22:00:00,frozen,"-17,39"
2023-07-03 22:00:00,Meat,2.17
2023-07-03 22:00:00,Dairy,3.66
2023-07-03 22:00:00,Dry,19.0
2023-07-04 00:00:00,frozen,"-16,46"
2023-07-04 00:00:00,Meat,2.15
2023-07-04 00:00:00,Dairy,3.89
2023-07-04 00:00:00,Dry,18.68
2023-07-04 02:00:00,frozen,"-17,15"
2023-07-04 02:00:00,Meat,2.37
2023-07-04 02:00:00,Dairy,3.27
2023-07-04 02:00:00,Dry,17.5
2023-07-04 04:00:00,frozen,"-18,0"
2023-07-04 04:00:00,Meat,1.4
2023-07-04 04:00:00,Dairy,4.55
2023-07-04 04:00:00,Dry,19.34
2023-07-04 06:00:00,frozen,"-17,36"
2023-07-04 06:00:00,Meat,1.4
2023-07-04 06:00:00,Dairy,2.81
2023-07-04 06:00:00,Dry,17.18
2023-07-04 08:00:00,frozen,"-15,79"
2023-07-04 08:00:00,Meat,2.17
2023-07-04 08:00:00,Dairy,3.78
2023-07-04 08:00:00,Dry,18.7
2023-07-04 10:00:00,frozen,"-17,78"
2023-07-04 10:00:00,Meat,1.88
2023-07-04 10:00:00,Dairy,4.04
2023-07-04 10:00:00,Dry,17.87
2023-07-04 12:00:00,frozen,"-16,6"
