dispatch_id,timestamp,product_id,quantity,total_weight_kg
1,2023-07-01 10:48:37,Q6ESP75R,24,12.48
2,2023-07-01 11:41:31,XQVVKRQ3,39,40.17
3,2023-07-01 13:44:23,BZ6G6CMJ,4,4.0
4,2023-07-01 14:02:51,Q6ESP75R,20,10.4
5,2023-07-01 14:59:38,Q6ESP75R,32,16.64
6,2023-07-01 15:29:37,M3KWSJ67,12,6.24
7,2023-07-01 17:33:15,X7WE4EP9,31,4.96
8,2023-07-01 18:39:13,VP5NCD33,17,3.57
9,2023-07-01 19:20:12,VP5NCD33,32,6.72
10,2023-07-01 20:30:17,BQJW4VVV,17,7.14
11,2023-07-02 19:53:14,WV6S29A4,12,6.24
12,2023-07-03 06:55:01,YQNMFKGM,13,2.86
13,2023-07-03 09:25:15,JSSK3KST,33,33.99
14,2023-07-03 13:34:04,X7WE4EP9,12,1.92
15,2023-07-03 14:51:04,YQNMFKGM,18,3.96
16,2023-07-03 18:30:19,X7WE4EP9,17,2.72
17,2023-07-04 09:33:04,4QGSCVZT,22,23.1
18,2023-07-04 09:48:02,NZ2Z6VVH,50,26.0
19,2023-07-04 10:19:20,TVPMX3Q8,5,2.1
20,2023-07-04 13:22:56,SVJZ5YQ3,19,7.98
21,2023-07-04 14:42:42,CDBSWMDZ,46,23.92
22,2023-07-04 15:35:36,6BB22NDY,12,2.64
23,2023-07-04 16:51:04,PSTAERSM,24,5.04
24,2023-07-04 17:41:31,SVJZ5YQ3,11,4.62
25,2023-07-04 18:27:53,D4WAW6RP,24,5.28
26,2023-07-04 20:13:58,M3KWSJ67,6,3.12
27,2023-07-05 07:29:12,J4H848RE,38,16.34
28,2023-07-05 08:28:36,SVJZ5YQ3,9,3.78
29,2023-07-05 09:31:54,H995SZPT,7,7.35
30,2023-07-05 11:46:34,3K8HYYKV,10,10.5
31,2023-07-05 14:34:06,NGJ6P5S6,33,6.93
32,2023-07-05 14:35:11,M2FPXB2R,19,7.98
33,2023-07-05 15:14:32,NZ2Z6VVH,23,11.96
34,2023-07-05 16:54:58,2S7WFWDT,23,2.53
35,2023-07-05 17:59:19,56G8FH4H,40,5.2
36,2023-07-05 19:44:42,BZ6G6CMJ,7,7.0
37,2023-07-05 20:41:36,56G8FH4H,33,4.29
38,2023-07-06 08:30:56,R9WDAAKQ,28,6.16
39,2023-07-06 12:14:38,9ZQHATAP,9,4.68
40,2023-07-06 12:54:26,VP5NCD33,16,3.36
41,2023-07-06 13:50:22,JXFS7FCC,5,5.25
42,2023-07-06 18:00:37,2S7WFWDT,32,3.52
43,2023-07-06 20:24:26,6BB22NDY,25,5.5
44,2023-07-07 08:55:20,Y4VMX5PE,34,17.68
45,2023-07-07 13:51:22,WRJK577T,13,13.65
46,2023-07-07 14:02:27,VKXXAHSC,2,0.84
47,2023-07-08 06:31:37,Y4VMX5PE,8,4.16
48,2023-07-08 08:43:20,6VCEP9SY,45,47.25
49,2023-07-08 14:54:18,H995SZPT,2,2.1
50,2023-07-08 16:25:19,YQNMFKGM,12,2.64
51,2023-07-08 17:44:21,38YNY32B,13,5.46
52,2023-07-08 19:32:23,BZ6G6CMJ,11,11.0
53,2023-07-09 08:32:27,9KN6Z2QX,59,30.68
54,2023-07-09 08:39:02,D4WAW6RP,20,4.4
55,2023-07-09 09:35:53,Y3Y9KJ49,2,1.04
56,2023-07-09 11:29:45,WRJK577T,39,40.95
57,2023-07-09 12:40:40,YH43EW7Z,15,6.0
58,2023-07-09 15:19:41,X7WE4EP9,20,3.2
59,2023-07-09 17:27:31,ZVF8GFHC,31,8.06
60,2023-07-09 18:46:01,NGJ6P5S6,39,8.19
61,2023-07-09 19:24:11,PHJ78SQ5,6,1.92
62,2023-07-10 07:31:30,7M3YPZX4,55,57.75
63,2023-07-10 07:31:30,7M3YPZX4,55,57.75
64,2023-07-10 07:36:04,CVGKWEKG,45,36.0
65,2023-07-10 07:36:04,CVGKWEKG,45,36.0
66,2023-07-10 07:56:24,WFG7CVR4,37,15.54
67,2023-07-10 07:56:24,WFG7CVR4,37,15.54
68,2023-07-10 11:04:24,JXFS7FCC,12,12.6
69,2023-07-10 11:04:24,JXFS7FCC,12,12.6
70,2023-07-10 13:10:05,D4WAW6RP,13,2.86
71,2023-07-10 13:10:05,D4WAW6RP,13,2.86
72,2023-07-10 14:28:27,YH43EW7Z,21,8.4
73,2023-07-10 14:28:27,YH43EW7Z,21,8.4
74,2023-07-10 14:52:01,CVGKWEKG,28,22.4
75,2023-07-10 14:52:01,CVGKWEKG,28,22.4
76,2023-07-10 15:25:02,WDTP6NB3,24,2.64
77,2023-07-10 15:25:02,WDTP6NB3,24,2.64
78,2023-07-11 13:32:58,BQJW4VVV,9,3.78
79,2023-07-11 13:32:58,BQJW4VVV,9,3.78
80,2023-07-11 18:02:47,XDG8QTVM,30,15.6
81,2023-07-11 18:02:47,XDG8QTVM,30,15.6
82,2023-07-12 07:16:02,MRDWM7KH,16,8.8
83,2023-07-12 07:16:02,MRDWM7KH,16,8.8
84,2023-07-12 10:14:03,JXFS7FCC,17,17.85
85,2023-07-12 10:14:03,JXFS7FCC,17,17.85
86,2023-07-12 10:46:11,2S7WFWDT,27,2.97
87,2023-07-12 10:46:11,2S7WFWDT,27,2.97
88,2023-07-12 13:48:29,9KN6Z2QX,41,21.32
89,2023-07-12 13:48:29,9KN6Z2QX,41,21.32
90,2023-07-12 17:53:23,3M9FEY7D,25,26.25
91,2023-07-12 17:53:23,3M9FEY7D,25,26.25
92,2023-07-13 08:05:47,NZ2Z6VVH,39,20.28
93,2023-07-13 08:05:47,NZ2Z6VVH,39,20.28
94,2023-07-13 13:12:49,8S2TFS89,12,10.8
95,2023-07-13 13:12:49,8S2TFS89,12,10.8
96,2023-07-13 16:53:08,C75VQD4N,9,4.68
97,2023-07-13 16:53:08,C75VQD4N,9,4.68
98,2023-07-13 18:23:26,R9WDAAKQ,28,6.16
99,2023-07-13 18:23:26,R9WDAAKQ,28,6.16
100,2023-07-13 18:25:23,WDTP6NB3,40,4.4
101,2023-07-13 18:25:23,WDTP6NB3,40,4.4
102,2023-07-14 09:02:07,MPXDRFQ5,39,8.58
103,2023-07-14 09:02:07,MPXDRFQ5,39,8.58
