model_name,agent_name,reasoning_effort,started_at,trial_id,reward,duration_sec,cost_usd
openai/gpt-5.4,codex,xhigh,2026-07-09T20:38:52.400527Z,2f7sK2y,0.063324,171.901,0.379130
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T20:31:41.474281Z,3wxdF7e,1.000000,430.919,1.270509
openai/gpt-5.5,codex,xhigh,2026-07-09T20:34:48.795400Z,4TB7tNH,0.063324,151.407,0.590378
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T20:31:41.466661Z,5ksV3iM,0.063324,216.518,0.472691
deepseek/deepseek-reasoner,opencode,high,2026-07-09T20:31:41.490277Z,CTipAT6,0.063324,187.299,0.010601
openai/gpt-5.5,codex,xhigh,2026-07-09T20:31:41.458557Z,CeBw9gS,0.063324,205.384,0.385287
openai/gpt-5.5,codex,xhigh,2026-07-09T20:31:41.480670Z,Dzxf9DH,0.063324,209.557,0.561221
openai/gpt-5.4,codex,xhigh,2026-07-09T20:31:41.484097Z,EG3j9iF,1.000000,229.826,0.493963
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T20:34:42.630500Z,Hi9mPkL,0.063324,392.525,0.568386
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T20:37:32.347731Z,KP9NtHw,0.226677,241.426,0.507433
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T20:35:06.848559Z,LoQQjx8,0.063324,222.481,0.365990
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T20:35:31.318464Z,PJ6kDEH,1.000000,390.867,0.636770
openai/gpt-5.4,codex,xhigh,2026-07-09T20:34:57.716765Z,PRjbnc9,0.063324,176.684,0.365550
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T20:37:57.401924Z,WrDMDBQ,0.063324,271.434,0.445205
openai/gpt-5.4,codex,xhigh,2026-07-09T20:31:41.461529Z,Yci3M7J,0.063324,175.228,0.426794
deepseek/deepseek-reasoner,opencode,high,2026-07-09T20:40:07.758646Z,bBprV6q,0.063324,240.137,0.015226
openai/gpt-5.5,codex,xhigh,2026-07-09T20:38:49.334089Z,bRaUcqT,0.063324,170.463,0.466050
deepseek/deepseek-reasoner,opencode,high,2026-07-09T20:35:11.043778Z,cBfzxYt,0.063324,166.351,0.010744
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T20:31:41.477450Z,deRzr87,1.000000,354.347,0.480202
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T20:31:41.452746Z,dhYfYqV,1.000000,310.268,0.478006
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T20:39:17.765121Z,eF2NkpW,0.063324,241.741,0.568649
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T20:37:54.405952Z,eWDVouY,0.063324,242.576,0.750228
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T20:35:17.990585Z,i2jLCZE,0.063324,289.764,0.808476
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T20:34:36.697029Z,jGQfuKg,1.000000,346.711,0.804677
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T20:31:41.487162Z,kKAn7Ua,0.226677,181.138,0.364987
deepseek/deepseek-reasoner,opencode,high,2026-07-09T20:37:35.832003Z,r7ckygJ,0.063324,244.087,0.013160
openai/gpt-5.5,codex,xhigh,2026-07-09T20:36:51.726229Z,uGPwfB5,0.226677,146.034,0.446305
deepseek/deepseek-reasoner,opencode,high,2026-07-09T20:31:41.471422Z,vDStiZ6,0.063324,196.239,0.010719
openai/gpt-5.4,codex,xhigh,2026-07-09T20:37:20.206819Z,wccTqEL,0.063324,200.071,0.396261
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T20:31:41.346920Z,zZ8JqQH,0.063324,350.994,0.793258
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T08:08:23.948048Z,Dumq37h,0.226677,414.179,0.961448
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T08:08:23.961052Z,YTA62zr,0.063324,182.634,0.386764
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T08:08:23.937843Z,ZPPNeAf,0.226677,132.687,0.337633
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T08:08:23.952267Z,ZTyhVta,0.063324,185.194,0.384819
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T08:08:23.957821Z,ZhXb9Fv,0.063324,214.150,0.635924
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T08:08:23.941060Z,bBU4MoV,0.063324,223.201,0.533883
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T08:08:23.934106Z,cP5oPbB,0.063324,596.108,1.236741
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T08:08:23.965324Z,mCzy3LM,1.000000,350.653,1.149191
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T08:08:23.944256Z,sokg4VA,0.063324,279.859,0.606523
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T08:08:23.863465Z,wKwXtxG,1.000000,179.841,0.385241
