company_id,registration_date,industry,region,employees,declared_revenue_annual,bank_account_age_months
7258,2018-08-24,IT,region_10,681,847547.49,73
7522,2015-03-27,Transportation,region_6,749,991889.64,92
5030,2017-11-13,Construction,region_8,307,948060.24,88
6600,2012-06-27,Hospitality,region_6,896,722584.71,71
4276,2016-05-14,Construction,region_7,423,650601.08,52
3338,2015-08-18,Healthcare,region_7,263,100806.44,20
8467,2012-07-16,Healthcare,region_9,666,29568.78,108
2009,2017-08-17,Telecommunications,region_7,941,254213.57,105
2931,2011-03-25,Healthcare,region_3,280,147267.95,38
4533,2013-02-03,Hospitality,region_8,744,546658.24,29
6547,2013-12-21,Agriculture,region_1,613,262555.86,41
8873,2016-06-17,Hospitality,region_1,523,688573.44,52
2226,2012-11-05,Transportation,region_2,877,614125.17,48
3644,2010-08-12,Energy,region_5,332,549102.92,43
7393,2011-10-13,Telecommunications,region_10,338,251762.95,52
5918,2010-09-23,Professional Services,region_8,938,747541.61,119
8340,2018-07-04,Retail,region_7,484,461887.67,87
1376,2013-05-18,Construction,region_5,310,590101.76,35
3623,2013-04-05,Finance,region_4,818,861964.22,72
9368,2019-06-08,Retail,region_2,458,840782.13,98
1537,2013-10-04,Professional Services,region_3,121,396161.96,58
8100,2017-09-04,Telecommunications,region_10,32,623471.84,55
7353,2013-06-30,Real Estate,region_3,75,146617.54,74
8426,2016-12-07,Energy,region_9,228,120726.35,82
9073,2018-01-10,Education,region_3,427,556663.08,34
6031,2012-12-26,IT,region_6,7,999427.69,121
4984,2013-01-04,Healthcare,region_3,730,976897.44,43
4161,2015-02-15,Real Estate,region_4,215,675541.79,11
2192,2013-01-12,Transportation,region_4,834,823018.48,114
8452,2016-06-13,Retail,region_9,717,496344.87,98
9042,2014-02-03,Finance,region_4,881,105134.28,43
5868,2014-06-08,Manufacturing,region_5,513,10513.56,12
5263,2018-07-26,Entertainment,region_4,40,655735.03,92
1185,2017-11-28,Hospitality,region_6,70,824893.36,105
1970,2019-02-04,Real Estate,region_6,98,400536.7,69
9158,2017-01-22,Energy,region_5,206,752763.33,64
4617,2015-08-06,Real Estate,region_10,224,216295.55,81
6696,2018-05-18,IT,region_9,341,183593.05,26
3224,2012-11-11,Agriculture,region_2,992,145839.15,120
7396,2015-03-30,Professional Services,region_9,188,975839.69,107
4646,2013-08-22,Healthcare,region_3,225,659513.14,115
7326,2012-07-10,Construction,,748,830261.46,69
1506,2014-06-19,Education,region_7,55,605542.87,49
9180,2017-01-12,Construction,region_6,263,828345.37,93
3582,2012-05-02,Healthcare,region_5,275,526699.29,24
6871,2014-02-23,IT,region_3,846,11056.79,13
8482,2012-02-27,Telecommunications,region_1,649,180240.75,103
9477,2015-01-15,Construction,region_3,843,68891.83,114
5614,2015-02-05,Retail,region_9,200,682731.74,9
4812,2018-07-25,Manufacturing,region_2,110,184376.92,55
5114,2017-10-17,IT,region_6,325,367151.1,34
1311,2016-02-10,Entertainment,region_9,931,213336.39,76
5402,2012-11-10,Manufacturing,region_5,105,116328.93,11
8944,2013-08-14,Manufacturing,region_9,204,756728.8,104
4789,2018-02-22,Transportation,region_1,998,53733.35,30
4665,2016-06-05,Telecommunications,region_2,92,808129.06,72
3964,2016-05-29,Professional Services,region_10,502,498735.36,39
8366,2015-11-21,Agriculture,region_4,797,136772.08,73
2070,2010-03-05,Hospitality,region_6,108,867483.16,9
1323,2016-02-06,Construction,region_10,443,636817.69,56
1188,2012-07-25,Transportation,region_10,395,335969.84,37
4554,2014-02-09,Construction,region_4,296,558855.03,82
6703,2018-11-02,Finance,region_6,383,103693.37,41
1108,2012-08-20,Real Estate,region_8,865,567045.69,30
6922,2014-07-04,Hospitality,region_2,829,928229.81,27
9514,2013-02-24,Manufacturing,region_10,659,398559.89,115
2683,2010-03-16,Energy,,10,48156.58,114
1372,2014-02-27,Retail,region_5,340,853623.88,92
9605,2015-03-18,Healthcare,region_9,11,788783.22,114
4003,2011-02-26,Energy,region_2,853,277638.37,71
4831,2018-01-31,Professional Services,region_1,500,541123.04,33
7099,2010-05-08,Professional Services,region_9,854,598329.97,27
9998,2018-05-23,Education,region_3,106,812853.27,64
7656,2014-02-21,Professional Services,region_4,732,430729.59,76
7814,2018-04-14,Entertainment,region_1,123,796803.05,31
3779,2016-10-20,Professional Services,region_6,733,33730.65,107
3407,2015-05-21,Energy,region_2,693,171757.78,78
6274,2015-12-05,Professional Services,region_6,141,467109.93,10
8598,2015-04-04,Construction,region_2,145,196589.56,63
7777,2018-08-02,Transportation,region_10,203,810879.91,52
9703,2013-12-21,Agriculture,region_4,655,872695.0,108
7695,2015-06-06,Construction,region_10,368,539254.74,10
2750,2013-03-24,Healthcare,,46,708739.03,69
6161,2010-12-04,Telecommunications,region_2,315,839100.99,114
1546,2019-06-18,Hospitality,region_1,837,164200.09,89
6539,2010-10-21,Professional Services,region_1,711,450565.89,52
2043,2016-10-05,Healthcare,region_2,315,197469.86,65
7254,2010-05-05,Hospitality,region_9,677,710765.46,106
9220,2013-08-16,Manufacturing,region_10,844,943948.53,78
1682,2011-12-11,Retail,region_10,392,899932.36,69
6662,2012-03-30,Construction,region_3,487,461839.82,106
6646,2016-01-26,Hospitality,region_8,119,86661.72,16
1735,2017-08-31,IT,region_4,932,616098.8,16
9687,2018-01-04,Construction,region_6,287,226517.18,119
7008,2011-03-25,IT,region_4,979,243996.83,71
2916,2018-01-17,Construction,region_10,153,572884.02,28
6503,2013-03-26,Entertainment,region_9,629,209848.58,64
4150,2013-08-20,Manufacturing,region_1,628,354421.77,116
