invoice_id,seller_id,buyer_id,invoice_date,net_amount,vat_amount,gross_amount,vat_rate,product_category,payment_delay_days
689474,9357,5765,2019-11-17,19510.81,4487.49,23998.3,0.23,Services,0
926567,5125,5765,2019-11-19,28530.08,6561.92,35092.0,0.23,Services,3
240600,9357,5765,2019-11-21,23124.23,5318.57,28442.8,0.23,Services,1
690384,5125,5765,2019-11-23,21288.49,4896.35,26184.84,0.23,Services,2
240721,9357,5765,2019-11-25,34393.58,7910.52,42304.1,0.23,Services,3
371539,5125,5765,2019-11-27,28671.89,6594.53,35266.42,0.23,Services,2
578141,9357,5765,2019-11-29,33026.03,7595.99,40622.02,0.23,Services,3
318877,5125,5765,2019-12-01,21704.76,4992.09,26696.85,0.23,Services,2
134866,9357,5765,2019-12-03,21596.98,4967.31,26564.29,0.23,Services,0
609878,5125,5765,2019-12-05,19635.56,4516.18,24151.74,0.23,Services,2
236717,4136,1967,2019-09-12,28427.93,6538.42,34966.35,0.23,Services,3
694223,4866,1967,2019-09-14,24113.38,5546.08,29659.46,0.23,Services,2
472089,4136,1967,2019-09-16,34204.31,7866.99,42071.3,0.23,Services,3
986493,4866,1967,2019-09-18,31236.46,7184.39,38420.85,0.23,Services,3
635807,4136,1967,2019-09-20,34613.59,7961.13,42574.72,0.23,Services,3
587572,4866,1967,2019-09-22,28207.76,6487.78,34695.54,0.23,Services,2
730364,4136,1967,2019-09-24,19102.07,4393.48,23495.55,0.23,Services,3
864127,4866,1967,2019-09-26,27419.06,6306.38,33725.44,0.23,Services,2
109064,4136,1967,2019-09-28,18641.31,4287.5,22928.81,0.23,Services,2
545520,4866,1967,2019-09-30,19478.18,4479.98,23958.16,0.23,Services,1
690149,9464,3554,2019-10-05,25193.71,5794.55,30988.26,0.23,Services,0
408864,8100,3554,2019-10-07,31816.69,7317.84,39134.53,0.23,Services,2
682318,9464,3554,2019-10-09,29454.43,6774.52,36228.95,0.23,Services,2
342116,8100,3554,2019-10-11,18535.61,4263.19,22798.8,0.23,Services,1
292519,9464,3554,2019-10-13,20485.24,4711.61,25196.85,0.23,Services,3
578174,8100,3554,2019-10-15,23145.06,5323.36,28468.42,0.23,Services,2
