model_name,agent_name,reasoning_effort,started_at,trial_id,reward,duration_sec,cost_usd
openai/gpt-5.5,codex,xhigh,2026-07-09T20:59:24.712335Z,2LMEEhe,0.538462,420.753,1.660158
openai/gpt-5.5,codex,xhigh,2026-07-09T21:07:01.769817Z,2eHopmi,0.111111,547.427,2.050663
deepseek/deepseek-reasoner,opencode,high,2026-07-09T21:06:25.472534Z,3a8BKKW,0.111111,203.182,0.047996
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T20:59:24.601253Z,4PYA42G,1.000000,693.813,3.024919
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T20:59:24.706378Z,5agZ2NN,0.111111,441.894,0.619540
deepseek/deepseek-reasoner,opencode,high,2026-07-09T21:12:55.571106Z,6Fb6Rjm,0.111111,212.479,0.038251
openai/gpt-5.4,codex,xhigh,2026-07-09T21:05:03.441624Z,7UUQzg5,0.111111,335.353,1.037028
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T20:59:24.735900Z,BbU3bPQ,,68.569,
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T21:12:44.534036Z,BiAmurr,0.250000,516.675,1.528986
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T21:10:38.801279Z,KYrzYFP,0.105263,594.659,1.160714
openai/gpt-5.4,codex,xhigh,2026-07-09T20:59:24.743466Z,KrDZ9Rv,0.111111,338.693,0.865842
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T20:59:24.747805Z,LyDsRXF,0.250000,440.772,1.099869
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T21:03:50.632920Z,QAmcSf2,0.052632,350.106,0.683230
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T21:06:46.608342Z,Rcu9Axp,0.428571,734.772,
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T20:59:24.721539Z,Td9x5sZ,0.250000,513.817,1.485539
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T21:00:33.309861Z,ZEBSpqm,1.000000,742.253,3.164879
openai/gpt-5.4,codex,xhigh,2026-07-09T21:12:12.457619Z,ddeooQK,0.428571,399.087,1.439542
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T21:10:14.502985Z,do4dCJz,1.000000,537.881,2.526845
deepseek/deepseek-reasoner,opencode,high,2026-07-09T21:09:48.660547Z,humrRAK,0.176471,201.439,0.036358
openai/gpt-5.4,codex,xhigh,2026-07-09T20:59:24.715574Z,iazppVb,0.428571,457.048,1.271285
openai/gpt-5.5,codex,xhigh,2026-07-09T20:59:24.739503Z,impWvW7,0.111111,372.462,1.907832
openai/gpt-5.4,codex,xhigh,2026-07-09T21:07:58.543777Z,jBKEvZs,0.111111,445.065,1.495528
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T21:06:45.526399Z,jbKGYzD,1.000000,694.806,3.201258
openai/gpt-5.5,codex,xhigh,2026-07-09T21:10:58.419871Z,k7W8QvM,0.428571,557.452,2.396411
deepseek/deepseek-reasoner,opencode,high,2026-07-09T20:59:24.727023Z,nWnkGzk,0.428571,265.900,0.038844
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T20:59:24.731802Z,q35YkCo,1.000000,767.720,2.875858
openai/gpt-5.5,codex,xhigh,2026-07-09T21:04:16.090002Z,v4w8T9p,0.428571,358.406,1.590718
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T21:05:37.206955Z,vR4L3MW,0.250000,427.321,1.137346
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T21:09:40.745373Z,xL9Besq,0.111111,466.166,1.312997
deepseek/deepseek-reasoner,opencode,high,2026-07-09T20:59:24.751134Z,z4QybYb,0.428571,291.333,0.025951
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-13T11:10:40.904316Z,mdHsYga,0.428571,612.295,1.334288
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T08:21:38.181635Z,2ReTcUy,0.000000,476.940,1.377583
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T08:21:38.185641Z,4WNBU3f,0.428571,381.970,1.170780
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T08:21:38.107057Z,BjREY3o,0.111111,349.252,1.098588
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T08:21:38.188813Z,GqbHMiN,0.111111,445.030,1.194170
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T08:21:38.198009Z,MLGuYiu,0.428571,530.772,1.273157
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T08:21:38.191862Z,erAffo3,1.000000,421.316,1.039611
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T08:21:38.204116Z,fdmhtCc,0.428571,480.595,1.156887
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T08:21:38.200717Z,rB2BJFt,0.250000,614.843,1.509737
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T08:35:47.008171Z,ZJknX4P,0.250000,562.069,2.105486
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T08:42:41.387783Z,xQUGgoy,0.111111,468.637,1.568686
