model_name,agent_name,reasoning_effort,started_at,trial_id,reward,duration_sec,cost_usd
openai/gpt-5.5,codex,xhigh,2026-07-09T21:39:38.795930Z,4LfTYB6,1.000000,407.667,1.366189
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T21:32:24.270621Z,9CRYBDq,0.000000,678.769,
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T21:26:43.501262Z,BfWqVQd,0.000000,829.039,
openai/gpt-5.5,codex,xhigh,2026-07-09T21:26:43.507107Z,CGmKzv7,1.000000,340.757,1.026251
deepseek/deepseek-reasoner,opencode,high,2026-07-09T21:38:45.106094Z,FiuwgET,0.000000,655.043,0.032914
openai/gpt-5.5,codex,xhigh,2026-07-09T21:33:42.628096Z,KUStXn3,1.000000,356.162,1.309975
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T21:26:43.517589Z,Lu4uxCN,1.000000,722.920,2.018544
openai/gpt-5.4,codex,xhigh,2026-07-09T21:37:56.477305Z,NCAMGVi,0.000002,299.980,0.889601
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T21:26:43.528652Z,P9ahwaX,0.000000,823.205,
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T21:39:02.419107Z,PLnDG7x,0.000000,703.440,
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T21:38:46.446480Z,QmTsejL,0.000000,692.741,
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T21:40:32.546114Z,UH3p6rT,0.000000,716.538,
anthropic/claude-fable-5,claude-code,xhigh,2026-07-09T21:26:43.436400Z,VD9SPd3,0.000000,816.579,
openai/gpt-5.5,codex,xhigh,2026-07-09T21:26:43.536721Z,W528t8E,1.000000,419.085,1.329580
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T21:26:43.532523Z,aKhFGS7,0.000000,807.515,
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T21:26:43.543834Z,brbrFHQ,1.000000,674.181,1.913365
openai/gpt-5.4,codex,xhigh,2026-07-09T21:26:43.510700Z,c3uXpvf,0.000000,721.590,2.950348
deepseek/deepseek-reasoner,opencode,high,2026-07-09T21:40:26.741487Z,hXpNSPc,0.000000,687.332,0.025706
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T21:40:20.021795Z,j3JmbW6,1.000000,552.391,1.898215
deepseek/deepseek-reasoner,opencode,high,2026-07-09T21:26:43.547437Z,menyEpb,0.000000,738.864,0.002662
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T21:37:57.733312Z,oCzteo6,0.000000,653.946,2.133710
deepseek/deepseek-reasoner,opencode,high,2026-07-09T21:48:05.509145Z,rDgEMgY,0.000000,655.668,0.007613
google/gemini-3.1-pro-preview,gemini-cli,high,2026-07-09T21:46:26.468709Z,s9Jtkha,1.000000,645.433,2.482080
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T21:42:56.463649Z,sK9dz9d,0.000000,669.771,
openai/gpt-5.4,codex,xhigh,2026-07-09T21:44:21.433155Z,sbRcQsY,1.000000,454.878,1.338521
deepseek/deepseek-reasoner,opencode,high,2026-07-09T21:26:43.523023Z,ttnVesy,0.000000,672.946,0.031239
openai/gpt-5.4,codex,xhigh,2026-07-09T21:40:11.052351Z,xXT6zdZ,0.000005,577.045,2.145186
openai/gpt-5.5,codex,xhigh,2026-07-09T21:43:43.046168Z,xyqjUhQ,1.000000,262.456,1.123377
anthropic/claude-sonnet-5,claude-code,xhigh,2026-07-09T21:33:01.592172Z,ypw32wA,0.000000,679.834,
openai/gpt-5.4,codex,xhigh,2026-07-09T21:26:43.539910Z,zwti7Vz,1.000000,378.045,1.449138
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T08:53:39.484597Z,4pez49D,1.000000,348.234,1.123663
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T08:53:39.475255Z,F6DFqqU,1.000000,391.261,1.202495
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T08:53:39.384517Z,N5uNwuZ,1.000000,316.286,1.397917
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T08:53:39.494064Z,TJZ996k,1.000000,310.398,0.775022
openai/gpt-5.6-sol,codex,xhigh,2026-07-14T08:53:39.466462Z,Y2M3rAD,1.000000,279.386,0.591707
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T08:53:39.479010Z,qDnCdDf,1.000000,509.847,1.653553
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T09:07:52.585898Z,8SvTEik,1.000000,473.192,1.471716
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T09:07:52.560762Z,SUnp5uE,1.000000,444.824,1.733508
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T09:07:52.589967Z,iR4zVp9,0.000000,352.666,1.133364
google/gemini-3.5-flash,gemini-cli,high,2026-07-14T09:07:52.592561Z,j5zCxxY,1.000000,434.043,1.751108
